stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,6,2
 24-34,0,0,0,0,0.82,0,0.82,0,0,9.85,0.82,0,1.64,0.82,0,0,0,0,0,0.82,6.57,8.21
 36-46,0,0,0,0,0.81,0,0,0,8.06,9.67,0.81,0.81,13.7,0,0,0,0,0,0,0,4.03,7.25
 48-58,0,0,0,0,0,1.15,0,0,14.92,10.9,0.57,0,32.71,0,0,0,0,0,0,0,10.33,4.59
 60-70,0,0,2.94,0.98,0,2.94,0,0.98,29.45,6.87,0.98,0.98,61.84,0,0,0,0,0,0,0,29.45,3.93
 72-82,0,0.98,12.76,0,0,2.94,0.98,0.98,17.67,6.87,2.94,0,61.84,0,0,0,0.98,0,0,0,26.5,2.94
 84-94,0,2.12,9.56,0,0,3.19,0,0,47.79,8.5,1.06,0,47.79,0,0,0,0,1.06,0,0,9.56,1.06
 96-106,0,0,5.46,0,0,1.09,0,0,27.32,3.28,2.19,0,30.6,0,0,0,0,0,1.09,0,4.37,0
108-118,0,0,8.43,0,0,3.06,2.3,0,46.72,1.53,2.3,0,46.72,0,0.77,0,0,0,0,0,3.06,0
120,0,0,7.84,0,0,1.96,0,0,21.56,3.92,1.96,0,45.08,0,0,0,0,0,0,0,7.84,0
