stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,4,0,0,1,2,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,10.67,0.82,0,0.82,2.46,0,0,0,0,0,1.64,0,4.1,0,0
 36-46,0,0,0,0.81,0,0,0,0,10.47,4.83,0,4.83,1.61,0,0,0,0,0,1.61,0,4.03,0,0
 48-58,0,0,0,1.72,0,0.57,0.57,1.72,24.1,6.89,0,6.31,1.15,0,0,0,0,0,0.57,0,2.87,0,0
 60-70,0,0,0,0.98,0,0.98,0,2.94,20.61,14.72,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,1.96,35.34,21.6,0,1.96,2.94,0,0.98,0.98,0,0,0,0.98,9.82,0,0
 84-94,0,0,0,4.25,1.06,0,0,0,40.36,19.12,3.19,1.06,1.06,0,0,5.31,1.06,1.06,0,0,10.62,1.06,0
 96-106,0,0,1.09,1.09,0,1.09,0,3.28,55.74,26.23,2.19,1.09,8.74,0,0,7.65,0,0,0,0,40.44,0,0
108-118,0.77,0.77,0.77,1.53,0,0,0.77,3.06,36.77,19.15,0,1.53,3.83,0,0,1.53,0,0.77,0,0.77,40.6,0,0
120,0,3.92,0,1.96,0,0,1.96,3.92,48.99,15.68,0,0,5.88,0,0,1.96,0,0,0,0,58.79,0,1.96
