stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,2,6,0,0,0,1,1,2,2,0,0,0
 24-34,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0.82,7.39,0,0,0,2.46,0,0,0.82,0,0,0
 36-46,0,1.61,0,0,0,0,0.81,0,0,0,0.81,0,0.81,11.28,0,0.81,0,2.42,1.61,0,2.42,0,0,0
 48-58,0.57,4.02,0.57,0,0.57,0,0,0,0,0,1.72,0,0,14.92,0.57,0,0,2.87,0,0,1.72,0,0,0
 60-70,0,9.82,0,0.98,0.98,0,0,0,0,0,1.96,0,0.98,25.52,0,0,0,3.93,0,0,0,0,1.96,0.98
 72-82,0,8.83,0,0,1.96,0,0,0,0,0,1.96,0,0,14.72,0,0,0,4.91,0,0,0,0,0,1.96
 84-94,2.12,6.37,0,0,3.19,1.06,0,2.12,0,0,1.06,0,0,15.93,0,0,1.06,9.56,0,0,0,0,1.06,0
 96-106,1.09,3.28,0,0,1.09,0,0,0,0,1.09,2.19,1.09,0,7.65,0,1.09,0,14.21,0,0,0,1.09,0,0
108-118,2.3,6.13,0,0.77,0.77,0.77,0,0,0.77,1.53,2.3,0,0.77,11.49,0,0,0,9.96,0,0,0,0,0,0
120,3.92,3.92,0,0,1.96,0,0,0,0,1.96,3.92,0,0,11.76,0,0,0,5.88,0,0,1.96,0,0,0
