stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,1,0,13,0
 24-34,0,0,0,0,0.82,0,0,29.55,0,0,46.79,0
 36-46,0,0,0,1.61,0,0,0,53.98,0,0,59.62,0
 48-58,0,0,0,0.57,0,0,0,49.92,0,0,32.71,0
 60-70,0,0,0,10.8,0,0,0.98,84.41,0,0,27.48,0
 72-82,0,0,0,25.52,0,0.98,0,86.39,0.98,0,15.71,0
 84-94,0,0,1.06,15.93,0,0,0,40.36,0,1.06,9.56,1.06
 96-106,0,0,0,4.37,0,0,0,27.32,1.09,0,7.65,0
108-118,0,1.53,0,8.43,0,0,0,26.04,0,0,3.83,0
120,0,0,0,5.88,0,0,0,21.56,0,0,5.88,0
