stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1805.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1207.54,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,92,10.51,0,0,39.43,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
 24-34,0,0,1.64,2.46,1.64,0,7.39,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0.82,48.43,0,3.28,0.82,0,0,13.95,0,1.64,0,0.82,14.78,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0.81,0,0,1.61,5.64,0.81,0,0,24.98,0,2.42,2.42,0,0,4.83,0,0.81,0.81,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,0,0,13.2,0,1.15,13.2,0,0,0.57,0.57,0.57,0,0,0.57,2.3,12.05,0.57,0,2.87,24.1,0.57,2.3,0.57,0,0,8.03,0,0,0,0,7.46,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,0.98,0,36.32,0,0,22.58,1.96,0,0.98,1.96,0,0.98,0,0,0,17.67,0,1.96,0.98,41.22,0,5.89,1.96,0,0,4.91,0,0,0,0,6.87,0,0,2.94,0,2.94
 72-82,0,0,2.94,2.94,6.87,0,53.99,0,0.98,33.38,1.96,0,0,0.98,0.98,0,0.98,0,0,44.17,1.96,0,3.93,61.84,0,4.91,0.98,0,1.96,9.82,0,0,0,0,9.82,2.94,0.98,1.96,0,1.96
 84-94,0,0,2.12,4.25,3.19,0,30.8,0,0,13.81,5.31,0,0,10.62,3.19,1.06,0,2.12,1.06,27.61,0,1.06,3.19,38.23,0,4.25,9.56,0,0,20.18,0,1.06,0,0,1.06,1.06,1.06,2.12,2.12,1.06
 96-106,0,0,0,6.56,7.65,0,27.32,1.09,1.09,31.69,4.37,0,2.19,8.74,2.19,2.19,0,3.28,0,39.34,0,1.09,2.19,36.06,0,7.65,4.37,0,1.09,41.53,0,1.09,0,0,6.56,3.28,4.37,3.28,0,1.09
108-118,0,0,1.53,3.83,3.06,4.6,29.11,0.77,1.53,22.98,2.3,0,0.77,11.49,0,0,0.77,1.53,0.77,27.57,0.77,0,0.77,49.79,0,12.26,5.36,0,0,32.17,0,0,1.53,0,3.06,1.53,0,3.83,3.06,1.53
120,0,0,0,25.48,15.68,3.92,11.76,1.96,1.96,23.52,7.84,0,0,13.72,1.96,0,0,5.88,0,31.36,3.92,1.96,0,66.63,1.96,3.92,3.92,0,0,70.55,0,1.96,0,0,7.84,3.92,1.96,11.76,0,1.96
