stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.24,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,102,1,0,1,1,0,1,1,0,0,0,5,0,0,0,2,0,0,1,2,0,0,0,1,0,87,1,1,0,3,0,0,1,0,0
 24-34,0.82,0,0,94.4,0,0,0.82,9.03,0,0,0,0,2.46,0,4.93,9.85,0,0,19.7,0.82,0,7.39,10.67,0.82,19.7,1.64,0,0,139.55,0,0.82,0,9.03,0,0,19.7,0,0.82
 36-46,0,0,0.81,61.23,0,0,1.61,10.47,0.81,1.61,0.81,0,1.61,0,0.81,9.67,0,0.81,16.11,0,0.81,1.61,10.47,0.81,8.86,0,0,0,84.6,0,0,0,5.64,0,0,8.06,0,0.81
 48-58,0,0,0,49.92,0,0,1.72,16.64,1.15,1.72,2.3,0,1.72,0,0.57,5.74,0,0,16.07,0.57,1.15,3.44,12.05,1.72,8.61,1.15,0,0,76.32,0,0.57,0,2.3,0,0,5.74,0,1.15
 60-70,0,0,0,72.63,0,0,5.89,16.69,0,1.96,3.93,0,0,0,0.98,16.69,0,0,23.56,2.94,0.98,0.98,15.7,1.96,6.87,0.98,0,0,86.37,0,0,0,2.94,2.94,0.98,2.94,0.98,0.98
 72-82,0,0,0,131.54,2.94,0,7.85,18.65,0.98,8.83,7.85,0,0.98,0,3.93,24.54,0,0.98,55.95,1.96,10.8,3.93,22.58,1.96,16.69,3.93,0,0,155.1,0,0,0,5.89,8.83,3.93,17.67,6.87,1.96
 84-94,0,0,0,240.02,1.06,0,6.37,55.23,3.19,6.37,27.61,0,2.12,1.06,7.43,32.92,0,0,33.99,8.5,5.31,1.06,3.19,7.43,36.11,2.12,0,1.06,396.14,1.06,2.12,0,5.31,47.79,5.31,9.56,3.19,5.31
 96-106,0,0,0,349.71,1.09,1.09,15.3,59.01,0,5.46,42.62,0,5.46,2.19,8.74,46.99,1.09,0,42.62,9.84,10.93,1.09,34.97,5.46,69.94,2.19,0,0,413.1,0,1.09,0,3.28,77.59,2.19,16.39,6.56,5.46
108-118,0.77,0,0.77,313.28,2.3,0.77,6.13,81.19,0.77,7.66,58.21,0,1.53,3.06,16.09,43.66,0,0,36,15.32,6.13,0.77,19.15,13.79,49.79,0.77,0,0.77,484.09,0,0,0.77,1.53,110.3,1.53,13.79,3.06,13.02
120,0,0,0,219.5,0,0,9.8,48.99,1.96,1.96,25.48,0,0,3.92,13.72,15.68,0,0,13.72,9.8,3.92,1.96,27.44,11.76,23.52,0,0,0,274.37,0,0,0,1.96,21.56,0,1.96,3.92,3.92
