stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,10.51,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,168.24,5.26,0,0,65.72,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,72.38,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,4,5,0,0,2,0,0,0,0,0,0,1,4,0,0,5,82,2,0,1,2,0,0,1,14,1,9,30,0,0,1,0,0
 24-34,0,0,1.64,0,4.93,0.82,12.31,0,0,1.64,0,1.64,0,0,0,0,0.82,21.34,0,0,9.03,249.54,1.64,4.1,0,0,0,0,0,0,0,2.46,50.89,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0,47.53,0,2.42,8.06,0,0,0,0,0,0.81,0,24.17,0,2.42,9.67,410.89,1.61,4.03,0,0,0,0.81,0.81,0,0,0,84.6,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,77.46,0,1.15,16.64,0,0,0.57,0,0,0.57,0.57,29.84,0,0,2.87,331.09,0.57,1.72,0.57,0,0,0,0,0,0,0,63.69,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,139.38,0,0,27.48,0,0,0,0,0,0,0,47.11,0,0.98,0.98,445.61,0,1.96,0.98,0,0,0,0,0,0,0,38.28,0,0,2.94,0.98,0
 72-82,0,0,0,0,2.94,0,84.42,0,0.98,17.67,0,1.96,0,0,0.98,0,0,42.21,0,0.98,0,233.64,0,0.98,0.98,0,0.98,0,0,0,0,0,17.67,0.98,0,1.96,0,0
 84-94,0,0,0,0,6.37,2.12,41.42,1.06,2.12,15.93,0,2.12,2.12,0,0,0,0,43.54,0,2.12,4.25,121.07,0,1.06,2.12,0,1.06,2.12,0,0,0,0,16.99,0,1.06,2.12,0,0
 96-106,0,0,0,0,1.09,0,31.69,0,0,9.84,0,1.09,2.19,1.09,1.09,1.09,0,24.04,0,0,1.09,68.85,0,4.37,0,0,0,0,0,0,0,0,5.46,0,0,7.65,0,0
108-118,0,0,0,0,3.83,0,18.38,0.77,0,9.19,0,0,2.3,0,0,0,0.77,22.21,0.77,0.77,3.06,87.32,0,2.3,0,0,0.77,0,0,0,0,0,2.3,0,0,2.3,0.77,0
120,0,0,0,0,5.88,0,37.24,0,0,9.8,0,1.96,1.96,0,0,0,0,23.52,0,0,1.96,74.47,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96
