stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,44.69,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,166.79,3.15,0,0,31.47,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,10,0,4,0,0,0,18,0,1,1,0,0,0,0,0,0,7,0,1,150,0,4,4,2,0,2,0,1,10,1,2,77,0,6,0,0
 24-34,0,0,0.82,0.82,4.93,0.82,0,18.88,0,0,0,21.34,0.82,0,0.82,0,0,0,0.82,0,0,13.95,0,4.93,320.13,1.64,1.64,9.85,0,0,2.46,0,0,0.82,0,1.64,108.35,0,30.37,0,0.82
 36-46,0,0,0,0,4.03,0,0,22.56,1.61,0,0,25.78,0,0,0.81,0,0,0.81,0,0.81,0,16.11,0,4.83,223.17,0.81,0.81,4.83,0,0.81,3.22,0,0,2.42,0.81,0,90.23,0,21.75,0,0
 48-58,0,0,0,0,2.3,0,0,33.85,2.87,0.57,0,39.02,0,0,0.57,0,0,0,0.57,0,0.57,21.8,2.3,3.44,130.25,0.57,2.3,5.74,0,0,1.72,0,0,0,0.57,0,56.81,0,22.38,0,1.15
 60-70,0,0,0,0,2.94,0,0,20.61,2.94,0,0,42.21,0,0,0.98,0,0,0,0.98,0.98,1.96,20.61,0,2.94,134.47,0,0,2.94,0,0,1.96,0,0,1.96,0.98,0,29.45,0,18.65,0,0
 72-82,0,0,0,0,1.96,0,0,29.45,0,0,0,42.21,0.98,0,0.98,3.93,0.98,0.98,0.98,0.98,0,20.61,1.96,3.93,215.97,0.98,0.98,12.76,0,0,0.98,0,0,0,0,0,10.8,2.94,41.23,1.96,0
 84-94,0,0,0,0,6.37,1.06,0,27.61,1.06,0,1.06,31.86,0,0,2.12,3.19,1.06,0,0,0,0,18.05,2.12,1.06,112.58,1.06,1.06,18.05,0,0,2.12,0,0,1.06,1.06,0,11.68,0,33.99,0,1.06
 96-106,0,0,0,0,5.46,2.19,0,34.97,2.19,0,0,40.44,0,0,1.09,2.19,0,0,4.37,0,0,14.21,0,0,110.38,0,2.19,13.11,0,0,2.19,0,0,0,0,0,9.84,0,42.62,0,0
108-118,0,0,0,0,0,0,0.77,20.68,0,0,0.77,22.98,0,0,0.77,0.77,0,0,1.53,0,1.53,7.66,0,0.77,139.41,0,2.3,15.32,0,0,0,0,0,0.77,0.77,0,4.6,0,21.45,0.77,0.77
120,0,0,0,0,9.8,0,1.96,21.56,0,0,3.92,25.48,3.92,0,0,0,0,1.96,1.96,0,0,9.8,0,1.96,182.26,0,1.96,13.72,0,0,0,0,1.96,0,0,0,15.68,0,23.52,0,0
