stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,iridophores,melanocytes,mesenchyme,neural,notochord,otic,periderm,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,1.64,0,0,1.64,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,1.15,0,0,2.87,0,1.15,0,0.57,0,0.57,0
 60-70,0,0,0,1.96,0,2.94,2.94,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,6.87,0,0,1.96,1.96,2.94,0,0,0,0,0
 84-94,0,0,0,14.87,0,2.12,6.37,0,1.06,1.06,0,0,0,0
 96-106,0,0,1.09,6.56,1.09,2.19,1.09,0,1.09,0,0,0,0,1.09
108-118,0.77,0.77,0,12.26,0,2.3,1.53,0,0.77,0,0.77,0,0,0
120,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0
