stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,2,0,0,1,0,1,0,0,0,0,1,0,7,0,0,2,21,20,0,0,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,14.78,0,0,2.46,0,0,0,0,0,0,0,1.64,39.4,0.82,0,2.46,40.22,19.7,0,0,0,0,0,0,0,23.8,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,12.89,0,0,2.42,0,0,0.81,0,0.81,0,0,1.61,101.51,3.22,0,4.03,70.09,22.56,0.81,0,0,0,0,0,0.81,18.53,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,22.95,0,0,5.16,0.57,0,0,0.57,1.15,0,0,4.59,110.74,4.59,0.57,10.33,79.19,14.35,0,0,0,0,1.72,0,0.57,12.05,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,26.5,0.98,0.98,3.93,0,0,0.98,0,8.83,0,0,0.98,128.58,12.76,0,3.93,183.54,13.74,0,0,0,2.94,0,0.98,0.98,16.69,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0.98,44.17,0,0.98,16.69,0,0,2.94,0,17.67,0,0.98,5.89,152.16,14.72,1.96,5.89,260.14,9.82,0,0.98,0,1.96,0,0,0,13.74,0,0.98,0.98,0.98,0.98
 84-94,0,0,1.06,0,2.12,1.06,67.97,1.06,0,5.31,0,0,0,0,7.43,0,0,16.99,94.52,7.43,2.12,1.06,169.93,20.18,0,1.06,0,2.12,1.06,0,0,10.62,0,6.37,0,1.06,0
 96-106,1.09,0,1.09,0,4.37,2.19,41.53,2.19,2.19,5.46,0,0,1.09,0,3.28,0,0,14.21,99.45,24.04,2.19,3.28,153,7.65,0,3.28,1.09,7.65,0,0,0,8.74,0,7.65,2.19,0,4.37
108-118,0,0,0.77,0.77,4.6,1.53,39.83,0,1.53,8.43,0.77,0,0,2.3,6.13,0.77,0.77,22.21,97.28,9.19,3.83,3.06,167.75,5.36,0,0,0,2.3,1.53,0,0,3.06,0.77,2.3,0.77,0.77,3.06
120,0,0,0,0,3.92,1.96,27.44,1.96,0,3.92,0,0,0,1.96,3.92,0,0,9.8,62.71,0,3.92,1.96,229.29,9.8,0,0,0,5.88,0,0,0,11.76,0,0,0,0,1.96
