stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,44.06,9.44,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0
 24-34,0,0,0,0,0.82,2.46,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,37.76,0,0.82,0.82,0,0,1.64,0,0,0.82,0,0.82,9.03,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,8.86,0,0,0,0.81,0,0,0,0,0.81,0,0,4.83,0,0,0.81,65.26,0.81,0.81,0,0,0,0.81,0,0,0,0,0,13.7,0,0,0,0
 48-58,0,0,0,1.15,0,10.33,0,0.57,2.87,0,0,0,0,0,0,0,0,9.18,0.57,0,0.57,37.3,0,0,1.15,0,0,1.72,0,0,0,0,0,6.89,0,0.57,0,0
 60-70,0,0,0,0,0.98,42.21,0,0,1.96,0.98,0,0,0,0,0,0,0,9.82,0,0,0.98,55.95,0,0.98,1.96,0,0,0,0,0,0,0,0,8.83,0,2.94,0,0.98
 72-82,0,0,0,0,0,13.74,0,0,7.85,0,0,0,0,0,0,0,0,9.82,0.98,0,0,40.25,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,9.56,0,0,4.25,1.06,0,0,0,0,0,0,1.06,4.25,0,0,2.12,16.99,0,0,0,0,0,3.19,0,0,0,0,0,4.25,0,1.06,0,0
 96-106,0,0,0,0,0,4.37,0,1.09,2.19,0,1.09,0,0,1.09,0,0,0,5.46,0,0,0,6.56,0,0,1.09,0,0,5.46,0,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,0,0,0.77,0.77,4.6,0.77,0,1.53,0,0,0.77,0.77,0,0.77,1.53,0.77,3.83,0,0.77,0.77,13.02,0,0,0,0,0.77,1.53,0,0,0,0.77,0,0,1.53,1.53,0,0
120,0,0,0,3.92,0,7.84,1.96,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,0,13.72,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
