stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,8,162,9,0,276,0,2,0,148,2,3,0,1,1,0,2,2,4,32,0,0,7,7052,18,32,45,99,0,7,0,30,4,2,77,2525,0,0,6,0,0
 24-34,0,2.46,72.24,9.03,0,701.83,0.82,9.85,1.64,255.29,1.64,1.64,4.1,2.46,7.39,1.64,7.39,2.46,4.1,78.8,0.82,0.82,45.97,10373.98,9.85,54.18,55.82,0,0,37.76,0,0.82,6.57,5.75,19.7,2802.4,0,0,22.16,0,4.1
 36-46,0,0,20.95,3.22,0,1398.64,2.42,1.61,0.81,399.61,3.22,0,1.61,0.81,1.61,2.42,7.25,4.03,5.64,67.68,0.81,0,20.14,8043.8,8.06,21.75,20.95,0,0,28.2,0,0,4.83,2.42,1.61,2081.85,0,0.81,8.06,0,8.86
 48-58,0,0,28.12,1.15,0,1471.24,4.59,5.16,2.87,671.93,0,0,5.74,4.59,1.72,4.59,2.87,0.57,5.74,103.28,0.57,4.59,22.95,4456.17,2.3,6.89,9.75,0,0,13.2,0.57,0,0.57,2.3,0,1303.11,0,0.57,10.33,0,14.92
 60-70,0,0,13.74,0.98,0,665.47,1.96,0,1.96,554.56,0,0,0,4.91,3.93,0.98,4.91,1.96,2.94,50.06,0.98,3.93,10.8,1892.37,0,4.91,7.85,0,0,12.76,0,0,1.96,0.98,0,385.74,0.98,0,3.93,0,13.74
 72-82,0,0,19.63,2.94,0.98,313.15,0.98,0,0.98,316.1,0,0,0,0.98,0,0,3.93,0.98,0,44.17,0,0.98,3.93,1112.22,0,3.93,6.87,0,0.98,6.87,0,0,0,0.98,0,95.22,0.98,0,0.98,0,1.96
 84-94,1.06,0,39.3,6.37,0,343.04,3.19,1.06,0,245.33,3.19,0,0,3.19,2.12,1.06,1.06,2.12,0,38.23,2.12,4.25,3.19,950.52,4.25,1.06,3.19,0,0,9.56,0,0,1.06,0,0,98.77,1.06,2.12,4.25,1.06,1.06
 96-106,0,0,52.46,1.09,2.19,307.09,3.28,2.19,1.09,289.6,3.28,0,1.09,7.65,1.09,0,3.28,2.19,1.09,52.46,2.19,2.19,4.37,826.19,1.09,8.74,4.37,0,1.09,19.67,0,0,3.28,1.09,0,31.69,5.46,1.09,2.19,2.19,0
108-118,0,0,16.85,3.06,0,179.24,0.77,0,0.77,242.81,3.83,0,0,3.06,2.3,0.77,3.06,5.36,1.53,28.34,0.77,1.53,5.36,1106.82,1.53,8.43,3.06,0,0,3.06,0,0,1.53,0.77,0,13.79,0.77,0,3.06,2.3,1.53
120,0,0,31.36,3.92,3.92,252.81,0,3.92,1.96,233.21,7.84,0,0,0,0,1.96,0,1.96,0,25.48,0,3.92,3.92,1021.05,0,15.68,7.84,0,0,7.84,0,0,3.92,0,0,13.72,0,0,3.92,1.96,1.96
