stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,36,0,2,43,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0,192.08,0.82,0.82,16.42,0,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,8.86,0,0,199.81,0,11.28,12.09,0,0,0,0,0.81,3.22,0,0,0,0
 48-58,0,0,0,0,5.16,0.57,0,0.57,0.57,0,0,0.57,15.49,0.57,0,188.78,0,12.05,17.79,0,0,0.57,0,0,1.72,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,43.19,0,0,191.4,0.98,3.93,8.83,0,0,2.94,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,7.85,0.98,0,0,1.96,0,0,0,39.27,0,0,208.11,0.98,0.98,7.85,0,0,1.96,0,0,1.96,0,0.98,0,0
 84-94,0,0,1.06,0,9.56,0,0,0,0,0,0,0,66.91,0,0,120.01,0,1.06,9.56,0,0,3.19,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,2.19,0,2.19,0,0,0,55.74,1.09,0,118.03,0,2.19,9.84,1.09,0,3.28,0,1.09,0,1.09,1.09,0,0
108-118,0,0,1.53,0,2.3,0,0,0,2.3,0,0,0,96.51,1.53,0.77,88.85,0,1.53,6.89,0,0,2.3,0,0,0,0,0.77,0.77,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,43.12,0,0,97.99,0,3.92,5.88,0,0,0,0,0,0,0,0,0,0
