stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,18.06,0,0,0,0.82,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0.81,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,11.48,0,0,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,0,0,0,12.76,0,0,3.93,0,0,0,0,0,0.98,0,0,0,35.33,0,0,0,0.98,0,1.96,0,1.96,0,0
 72-82,0,0,1.96,2.94,0,46.14,0,4.91,12.76,0,0,0,0,0,10.8,0,0,0,38.28,0,0.98,0,0.98,0,8.83,0.98,1.96,0,0
 84-94,0,0,5.31,1.06,0,23.36,0,2.12,16.99,0,0,1.06,1.06,0,1.06,0,1.06,0,30.8,0,0,0,0,0,3.19,0,4.25,0,0
 96-106,0,0,7.65,1.09,2.19,39.34,0,4.37,21.86,0,0,1.09,0,0,13.11,1.09,0,0,37.16,1.09,1.09,1.09,0,0,4.37,0,4.37,1.09,1.09
108-118,0,0,9.96,0.77,0.77,27.57,0.77,3.06,22.98,0,0,0.77,0,0.77,8.43,0,0.77,0.77,64.34,0,0,1.53,2.3,0,2.3,0,3.83,0,0
120,0,0,5.88,3.92,1.96,13.72,0,1.96,17.64,0,0,11.76,1.96,0,1.96,0,0,0,88.19,0,0,0,1.96,0,1.96,0,3.92,0,0
