stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,4,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,1,2,7,2,0,0,0
 24-34,0,0,0,1.64,0,4.1,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,64.03,0,0,0,0,0,0,0,0.82,0.82,9.03,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,70.09,0,0,0,0,0,0,0,0,0,15.31,0,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,0.57,5.74,0,0,0.57,0,0,0.57,14.92,0,0,102.71,0.57,0,0.57,0,0.57,0,0,0,0,14.35,0,0,0
 60-70,0,0,0,0.98,0,11.78,0,0,0,7.85,0,0,0,0,0.98,0,25.52,0,0.98,154.1,0,0,0,0,0,0,0,0,0,13.74,0,0.98,0
 72-82,0,0,0,0.98,0,40.25,0.98,1.96,0.98,7.85,0,0,0,0,0.98,0.98,27.49,0,0,176.7,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0
 84-94,0,0,0,0,0,20.18,1.06,0,0,9.56,0,0,2.12,1.06,1.06,0,20.18,1.06,1.06,81.78,0,0,1.06,0,0,0,0,0,0,4.25,1.06,0,2.12
 96-106,0,0,0,2.19,1.09,26.23,0,2.19,0,9.84,0,0,0,0,0,0,13.11,0,2.19,74.31,0,0,2.19,0,1.09,1.09,0,0,0,4.37,2.19,0,0
108-118,0,0.77,0,2.3,0,13.79,0,0,3.06,3.83,0.77,0,0.77,0,2.3,0,3.83,0,0,100.34,0.77,0.77,0.77,0,0,0,0,0,0,1.53,0.77,0,0.77
120,0,0,0,0,0,13.72,0,0,0,5.88,0,0,0,0,0,1.96,11.76,0,0,82.31,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0
