stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,4,7,0,6,114,0,0,65,1,0,1,7,2,336,11,65,0,0,1,2
 24-34,0,0,0,0.82,1.64,0,9.85,0,0,0.82,0,0,0,0,1.64,0,0,1.64,12.31,0,10.67,151.04,1.64,0,45.15,0,0,1.64,0,15.6,227.38,0.82,70.59,0,0,0.82,2.46
 36-46,0,0,0,1.61,0,0,7.25,0,0,0.81,0,0,0.81,0,0.81,0,0,0.81,1.61,0,0.81,53.17,0.81,0,15.31,0,0,0,0,9.67,95.87,0,35.45,0,0,0,2.42
 48-58,0,0,0,0,0,0,24.1,0,0,16.07,0,0,0,0,9.75,0,0,0.57,8.03,0,0,18.36,0,0,9.18,0,0,0,0,4.02,7.46,0,4.02,0,0,0,4.02
 60-70,0,0,0,0,0,0,28.46,0,0,41.22,0.98,0,0,0,43.19,0,2.94,0,8.83,0,0,11.78,0,0,9.82,0,0,0,0,4.91,1.96,0,0.98,0,0,0,2.94
 72-82,0,0,0,1.96,1.96,0,17.67,0,0,72.64,3.93,0,0,0,47.12,0,31.41,0,13.74,0,0,19.63,0,0,11.78,0,0,0,0,16.69,0,0,0.98,0.98,0,0,5.89
 84-94,0,0,0,0,0,0,24.43,0,0,48.85,8.5,0,2.12,0,44.61,0,111.51,0,8.5,1.06,0,21.24,0,0,11.68,0,0,2.12,0,44.61,0,0,0,0,0,0,10.62
 96-106,0,1.09,0,4.37,1.09,1.09,19.67,1.09,1.09,101.63,113.66,0,0,1.09,24.04,0,307.09,1.09,13.11,0,2.19,50.27,0,0,18.58,0,1.09,5.46,0,72.13,0,0,1.09,0,0,0,13.11
108-118,0,0,0,3.06,0.77,2.3,15.32,0,0,112.6,273.45,0,3.06,0,36.77,0,702.39,0,13.79,0,0.77,52.85,0,0.77,15.32,0,0.77,0.77,0,81.96,0,0,0.77,0,0.77,0.77,9.96
120,0,0,0,1.96,0,0,23.52,0,0,99.95,186.18,0,0,0,21.56,1.96,305.73,0,3.92,0,0,50.95,0,1.96,7.84,0,0,1.96,0,52.91,0,0,7.84,0,1.96,0,3.92
