stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,34.62,15.73,0,0,113.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,45,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,2,17,20,0,1,42,0,1,87,0,0,21,19,0,0,1,0,0
 24-34,0,0,18.88,0,0,0,0,1.64,2.46,0.82,0,2.46,0,0,0,0,0,0,27.09,0,7.39,11.49,3.28,0,0,0,0,5.75,0,0.82,0,22.16,23.8,0,0,8.21,0,0.82
 36-46,0,0,6.45,0.81,2.42,0,0.81,9.67,3.22,0,0,0,0,0,0,0,0,0,57.2,0,5.64,7.25,3.22,0.81,2.42,0,0,4.03,0.81,0,0,0,19.34,0,0,2.42,0,0
 48-58,0,0,9.18,0,2.3,0,1.15,5.74,7.46,0,0,0,0,0,0,0,0.57,2.3,88.37,0,5.74,16.64,2.3,0,1.72,0,0,1.72,0,0,0,0,26.97,0,0,0.57,0,2.3
 60-70,0,0,8.83,0,5.89,0.98,1.96,6.87,2.94,0,0.98,0,0.98,0,0.98,0.98,0,1.96,201.21,0.98,1.96,16.69,0,0,0,0,0,0.98,0,0,0,0,11.78,0.98,0.98,0.98,0,1.96
 72-82,0,0,8.83,0,13.74,0,2.94,8.83,5.89,0,0,0,0,0,0,0,0,0.98,263.09,0.98,3.93,22.58,1.96,0,2.94,0,0,0.98,0,0,0,0,6.87,0,2.94,2.94,0.98,0
 84-94,0,0,27.61,1.06,24.43,2.12,5.31,6.37,15.93,0,0,2.12,0,2.12,1.06,0,0,4.25,175.24,1.06,9.56,12.74,1.06,1.06,3.19,0,0,9.56,0,0,0,0,0,0,1.06,2.12,2.12,5.31
 96-106,0,0,19.67,1.09,5.46,2.19,2.19,3.28,8.74,1.09,0,2.19,0,1.09,2.19,2.19,1.09,3.28,151.91,0,5.46,8.74,2.19,5.46,4.37,0,1.09,5.46,0,0,0,0,6.56,0,3.28,1.09,1.09,2.19
108-118,0,0,24.51,0.77,9.19,0.77,6.13,11.49,9.19,1.53,0,1.53,0,0,4.6,1.53,0.77,3.83,137.11,0.77,1.53,11.49,2.3,1.53,4.6,0,0.77,7.66,0,0,0.77,0,3.06,0,0.77,0.77,0,4.6
120,0,0,13.72,0,5.88,1.96,0,9.8,5.88,1.96,0,0,0,1.96,3.92,0,0,0,111.71,0,1.96,7.84,3.92,5.88,3.92,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0,1.96
