stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,13.14,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,2,0,0,1,0,1,22,0,0,0,0,1,13,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,19.7,0,0.82,0,0.82,0,4.1,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,2.42,0,0.81,16.92,0,0,0,0.81,0,3.22,0.81
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0.57,3.44,0.57,0,9.18,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,2.94,0,0,2.94,0,0,2.94,0,0,7.85,0,0.98,0,0,0,1.96,0
 72-82,0,0.98,0,0,0.98,4.91,0,0,0.98,0,0,2.94,0,0,14.72,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,5.31,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,6.56,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,0,1.53,0.77,0,0,0,0,0.77,0,0,5.36,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,1.96,0
