stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,0,17,0,0
 24-34,0,0.82,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,1.64,150.22,0,2.46,0,0,0,0,0,48.43,0,0
 36-46,0,0,0.81,0,0,8.86,0,0,0.81,0,0,0,0,0,0,0.81,0,394.78,0.81,4.83,0,0,0.81,0,0,96.68,0,0
 48-58,0,0,1.15,0.57,0,37.87,0,0,3.44,0.57,0,0,0,0,0,3.44,0.57,461.34,0.57,1.15,0,0,0,0,0,86.64,0,0
 60-70,0,0,1.96,0,0,116.8,0,0,4.91,0,0,0,0,0,0,5.89,0,840.18,0,0.98,0,0,0.98,0,0,110.91,0,0
 72-82,0,0,4.91,0,0,148.23,0,0,16.69,0,0,0.98,0,0,0,5.89,0.98,704.83,0,0.98,0,0,0,0,0.98,61.84,0,1.96
 84-94,0,0,3.19,2.12,1.06,93.46,0,0,9.56,0,0,0,0,0,0,5.31,0,316.49,0,5.31,0,0,1.06,0,0,30.8,2.12,0
 96-106,0,1.09,2.19,1.09,0,67.76,0,0,13.11,0,0,0,0,1.09,0,6.56,1.09,299.44,0,6.56,0,0,1.09,0,0,9.84,0,0
108-118,0,0,3.06,0.77,1.53,51.32,0.77,0.77,9.19,0,0,0,0.77,0.77,0.77,6.13,0.77,330.9,0,2.3,0.77,0,1.53,0.77,0,12.26,0,0
120,0,0,3.92,0,0,41.16,0,0,7.84,0,0,0,0,0,0,7.84,0,354.72,0,3.92,0,0,0,0,0,17.64,0,0
