stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,13,1,0,0,1,0,0,4,4,0,0,4,96,1,0,0,0,1,1,52,0,0,0,0,5
 24-34,0,0,2.46,0,12.31,0,0,0,27.91,0,0,0.82,1.64,0,0,2.46,22.16,0,0,9.85,307,0.82,1.64,0,0,0,0,120.67,0,0,1.64,0,12.31
 36-46,0,0.81,0,0,9.67,0,0,0,178.86,0,0,0.81,1.61,0,0,0.81,41.09,0,0,7.25,392.36,0,1.61,0,0,0.81,0,228.81,0,0,0.81,0,10.47
 48-58,0,0,0.57,0,18.36,0,0,0,271.41,0,0,3.44,2.87,0,0,0,44.76,0.57,0,6.31,220.34,1.15,1.15,0,0.57,0,0,234.11,0,0,0.57,0,10.33
 60-70,0,0,1.96,0,16.69,0,0,0.98,409.29,0,0,8.83,8.83,1.96,0.98,0,54.97,0,0,1.96,173.73,0,1.96,0,0,0,0,134.47,0,0,1.96,0,15.7
 72-82,0,0,1.96,0,35.34,0,0,0,487.89,0,0.98,2.94,6.87,0.98,0.98,0.98,71.66,0,0,4.91,135.47,0,2.94,0,0.98,0,0,59.88,0.98,0,2.94,0.98,5.89
 84-94,0,0,1.06,0,42.48,0,0,0,364.28,0,1.06,8.5,6.37,0,0,0,56.29,0,1.06,5.31,98.77,0,0,0,1.06,0,0,41.42,1.06,1.06,4.25,2.12,8.5
 96-106,0,0,7.65,0,24.04,1.09,1.09,0,326.76,0,0,9.84,10.93,0,0,0,32.79,0,1.09,1.09,87.43,0,2.19,0,2.19,0,0,18.58,0,0,1.09,0,3.28
108-118,0,0,4.6,0.77,11.49,0.77,0,0,279.58,0,0,5.36,11.49,0,0,0,36.77,0,0.77,3.06,87.32,0,5.36,0,0,0,0,13.02,0,0.77,0.77,0.77,8.43
120,0,0,1.96,1.96,11.76,0,0,0,256.73,0,0,15.68,3.92,0,0,0,43.12,0,0,1.96,66.63,0,3.92,0,0,0,0,13.72,0,0,1.96,0,0
