stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,22.03,0,12.59,0,6.29,0,0
 14-21,0,0,0,4,11,0,0,0,69,0,0,0,0,0,0,7,0,24,0,1,5,1,0,47,0,147,0,0
 24-34,0,0.82,0,0.82,0,4.93,0,1.64,72.24,0.82,0,0,0,0.82,0,3.28,0.82,45.15,0,22.16,8.21,0,0,28.73,1.64,157.6,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,49.95,0.81,0.81,0,0,0,0,0,0,62.84,0,16.92,4.03,0,0,8.86,0,133.74,0,0
 48-58,0,0,0,2.3,0,5.16,0,0,34.43,0.57,0,0,0,1.15,0,1.15,0,54.51,0,9.18,8.61,0,0,5.74,0,104.43,0,0
 60-70,0,0,0,0,0,63.8,0,0,49.08,0.98,0,0,0,1.96,0,0.98,0,72.63,0,10.8,15.7,0,0,1.96,0,26.5,0,0
 72-82,0,0.98,0,0,0,149.21,0,0,37.3,5.89,0,0,0,4.91,0,2.94,0,82.46,0,22.58,37.3,0,0,2.94,0,20.61,0,0
 84-94,0,3.19,1.06,1.06,0,114.7,0,0,28.68,1.06,0,1.06,0,1.06,0,0,0,32.92,0,6.37,52.04,0,0,8.5,0,15.93,0,1.06
 96-106,0,2.19,2.19,0,0,80.87,0,0,20.76,0,0,1.09,0,2.19,0,1.09,0,29.51,0,14.21,62.29,0,0,2.19,0,16.39,1.09,0
108-118,0,0.77,1.53,0.77,0,55.15,0.77,0,19.92,0,0,0,0,2.3,0.77,0.77,0,37.53,0,13.79,32.17,0,0,3.06,0,7.66,0.77,0.77
120,0,1.96,0,0,0,62.71,0,0,11.76,0,0,0,1.96,9.8,0,0,0,41.16,0,9.8,31.36,0,0,1.96,0,3.92,0,0
