stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,705.94,0,3.28,54.18,0,0,0.82,0,0,3.28,0.82,0,0,1.64,0,3.28,11.49,0,5.75,59.1,0,0,0,2.46,0.82,0,6.57,0,0,0,0,0
 36-46,0,574.44,0.81,6.45,114.41,0.81,0.81,0,0,0.81,6.45,0,0,0,0,0.81,3.22,8.86,0,2.42,44.31,0.81,1.61,0,4.83,0,0,8.86,0,0.81,0.81,0,0
 48-58,0,549.71,0,16.07,165.83,0,4.02,0,0,0.57,2.87,0.57,0,0,0,0.57,8.61,6.31,0,0.57,44.76,1.15,0,0,3.44,0,0,10.9,0,0,1.72,0,0.57
 60-70,0,547.69,0,9.82,144.28,0.98,3.93,0,0,0,7.85,0,0,0.98,0.98,0,8.83,9.82,0,0.98,36.32,0,0,0,0.98,0,0,4.91,0,0,0.98,0,0
 72-82,0,616.48,1.96,12.76,156.08,0.98,2.94,0.98,0.98,0,14.72,0.98,0.98,0.98,0,0,4.91,9.82,0.98,0,27.49,0.98,0,0,0.98,0,0,2.94,0.98,0,0.98,0,0
 84-94,0,1077.97,3.19,5.31,262.32,0,3.19,3.19,0,1.06,10.62,3.19,0,0,0,0,7.43,14.87,1.06,0,19.12,0,0,0,5.31,1.06,0,2.12,1.06,0,1.06,1.06,1.06
 96-106,0,1111.43,4.37,6.56,245.89,1.09,2.19,0,0,1.09,14.21,2.19,0,0,0,0,7.65,19.67,0,0,28.41,1.09,1.09,1.09,6.56,0,0,1.09,1.09,0,5.46,0,1.09
108-118,0,1173.46,1.53,8.43,333.96,1.53,3.83,8.43,0,0,19.15,0.77,0,0.77,0,0,6.13,10.72,0,0,17.62,1.53,0,0,5.36,0,0,0,0,0,0.77,0.77,0.77
120,0,944.62,1.96,5.88,266.53,0,0,1.96,0,0,9.8,3.92,0,0,0,0,5.88,7.84,0,1.96,29.4,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0
