stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,10,0,0,2,1,0,0,3,2,3,11,0,0,0,0
 24-34,0,0,4.1,0.82,1.64,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,11.49,0,1.64,0,0,0,1.64,0,0,0.82,6.57,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0.81,0.81,12.89,0,2.42,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,5.16,0,0,2.3,0.57,0.57,0,0,0,0,0,0,1.72,0,0.57,9.75,0,1.72,0,0,0,2.3,0,0,0,1.72,0,0,0.57,0
 60-70,0,0,0,0,12.76,0,0,3.93,1.96,0,0,0,0,0,0,0,7.85,0,0.98,23.56,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98,0.98
 72-82,0,0,0,0,7.85,0,0,3.93,0.98,0,0,0,0,0,0,0,11.78,0,0,16.69,0,4.91,1.96,0,0,0,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,0,5.31,0,0,6.37,1.06,0,0,0,1.06,0,1.06,2.12,4.25,0,0,7.43,0,5.31,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,5.46,1.09,0,0,1.09,0,0,0,0,6.56,1.09,0,9.84,0,4.37,0,0,0,3.28,0,0,0,1.09,0,0,1.09,0
108-118,0,0,3.06,0,3.83,0.77,0.77,5.36,3.83,0,0.77,0.77,0,0.77,0.77,1.53,3.83,0,0,12.26,0.77,3.83,0.77,0,0.77,0,0,0,0,0.77,0.77,0,0.77,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,13.72,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
