stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,36.78,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,6,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,1,2,12,0,2,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,3.28,0,0,0,3.28,0.82,0.82,0,1.64,0,0,0,0.82,2.46,0,0,1.64,57.46,0.82,3.28,0,0,0,4.93,0,0,0,0,16.42,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0.81,3.22,0,0,1.61,107.96,0,4.83,0.81,0,0,2.42,0,0,0,0,20.14,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,11.48,0.57,0.57,0.57,7.46,0,0.57,1.15,0.57,0,0.57,0,0.57,10.33,0.57,0,0,150.34,0.57,0.57,0,0,0,2.87,0,0,0,0,24.67,0,1.72,0,1.72
 60-70,0,0,0,0,2.94,0,0,25.52,0.98,0,0,14.72,0,0.98,0.98,0.98,0.98,0,0,0,8.83,0,0,0,297.4,0,1.96,0,0,0.98,2.94,0,0.98,0,0,20.61,0.98,0,0,0.98
 72-82,0,0,0.98,0,1.96,0.98,0,44.17,0.98,0,0,14.72,1.96,1.96,0,0,0,0,0.98,0,24.54,0,0,1.96,321,0.98,0.98,1.96,0,0.98,0.98,0,0.98,0,0,11.78,1.96,0.98,4.91,0.98
 84-94,0,0,1.06,0,3.19,1.06,0,27.61,0,1.06,1.06,11.68,3.19,0,3.19,0,0,2.12,1.06,0,14.87,0,1.06,2.12,117.89,1.06,2.12,1.06,0,0,6.37,0,1.06,0,0,5.31,0,4.25,0,1.06
 96-106,0,0,1.09,0,6.56,1.09,0,28.41,0,0,0,5.46,4.37,0,3.28,1.09,0,1.09,0,0,9.84,0,0,0,144.26,0,3.28,3.28,0,0,4.37,0,0,0,0,4.37,0,2.19,3.28,2.19
108-118,0,0,1.53,0,3.83,0.77,2.3,17.62,0,0,0.77,12.26,0,0.77,1.53,0.77,1.53,1.53,1.53,0,9.96,1.53,0.77,0,108.77,0,2.3,2.3,0,0.77,2.3,0,0,0,0,5.36,0,0,1.53,0
120,0,0,0,0,3.92,0,0,3.92,0,1.96,0,1.96,1.96,3.92,1.96,3.92,0,0,0,0,11.76,0,0,1.96,133.27,0,0,1.96,0,0,9.8,0,1.96,0,0,0,0,3.92,0,0
