stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,periderm,somites,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,13.14,0,0,0
 10-12,0,0,0,0,6.29,0,0,9.44,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0.82,1.64,0,0.82,2.46,0,0.82,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,2.87,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0
