stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,mesenchyme,muscle,neural,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,1.64,3.28,0,4.1,0.82,0,2.46,0,0,0.82
 36-46,0,0,0,0,1.61,0,0,0.81,0.81,5.64,0,0,7.25,0,0,0
 48-58,0,0.57,0,0,2.87,1.15,0,1.15,0.57,6.89,0,0,5.74,0,0,0
 60-70,0,0,0,0,5.89,6.87,0,0.98,0,10.8,0,0,11.78,0,0,0
 72-82,0,0,0,0,8.83,25.52,0,3.93,0,16.69,0,0,12.76,0,0,0
 84-94,0,1.06,0,0,0,20.18,0,1.06,0,5.31,1.06,1.06,9.56,0,0,0
 96-106,0,0,0,0,5.46,21.86,0,4.37,0,9.84,0,0,5.46,0,0,0
108-118,0,0,1.53,0.77,3.83,21.45,0,3.06,0.77,13.02,0.77,0,6.13,0.77,0,0
120,0,1.96,1.96,0,5.88,29.4,0,0,0,15.68,1.96,0,19.6,0,1.96,0
