stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,26,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,201.93,0,5.75,0.82,0,0,68.95,0,0,0,0
 36-46,0,0,0,0,43.51,0,2.42,0,0,0.81,0,0,0,0,1.61,0,0,754.11,0,12.09,0,0,1.61,174.02,0,0,0,0
 48-58,0,0,2.87,0,94.1,0,7.46,0,0,0,0,0.57,0,0,1.72,0,0.57,807.92,0,2.87,0,0,0,173.86,0,0,0,1.15
 60-70,0,0,0.98,0,223.79,0.98,10.8,0.98,0,0,0,0,0,0,0.98,0.98,0.98,1211.2,0,4.91,0,0,0.98,187.47,0,0,0,1.96
 72-82,2.94,0,0.98,0.98,208.11,0,6.87,0.98,0.98,0.98,0,0,0,0,9.82,0,0,799.07,0,3.93,0,0,0,82.46,0.98,0,0.98,0
 84-94,0,0,3.19,1.06,115.76,0,10.62,2.12,0,0,1.06,0,0,0,9.56,1.06,2.12,340.91,0,1.06,1.06,0,2.12,47.79,0,1.06,0,0
 96-106,1.09,0,4.37,1.09,60.11,0,4.37,2.19,0,0,0,0,1.09,1.09,7.65,0,0,259,0,6.56,0,0,1.09,24.04,0,0,0,0
108-118,0,0,3.06,0.77,64.34,0,7.66,0,0,0,0,0,0,0,3.83,0,0,288.77,0,4.6,0,0,0.77,17.62,0.77,0,0,0
120,0,0,3.92,0,56.83,0,3.92,0,0,0,0,0,0,0,3.92,0,0,321.4,0,1.96,0,0,1.96,5.88,0,1.96,0,0
