stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,2,0,1,1,0,0,0,1,0,0,2,13,2,0,0,0,0,4,0,19,5,0,0,0
 24-34,0,0,0.82,0,5.75,0,0.82,0,0,1.64,0,6.57,0,0,0.82,43.51,0,0,0,0,2.46,0,0.82,4.1,12.31,6.57,0,0
 36-46,0,0,0,0,6.45,0,2.42,0,0,0,0.81,2.42,0,0,0,42.7,0,0.81,1.61,0,2.42,0,0,0,8.86,0,0,0.81
 48-58,0,0,0.57,0,12.05,0,3.44,0,0,8.03,0.57,5.16,0,0,0.57,17.21,0,0,0,0,0.57,0,0,0,6.89,0.57,0,0.57
 60-70,0,0,0.98,0,16.69,0,2.94,0.98,0,18.65,0,5.89,0,0,0.98,17.67,0,0.98,0,0,1.96,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,9.82,0,2.94,0,0,44.17,0,3.93,0.98,0,0,13.74,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,0,0,5.31,1.06,2.12,1.06,1.06,47.79,0,1.06,0,1.06,0,10.62,0,0,0,0,1.06,0,0,0,0,2.12,0,1.06
 96-106,0,0,0,1.09,3.28,1.09,2.19,1.09,0,66.66,1.09,5.46,0,0,0,5.46,0,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,2.3,0,9.19,0,2.3,0.77,0,48.26,0.77,3.06,0,0,0,6.13,0,0,0,0,0,0,0,0,0.77,0,0.77,0.77
120,0,0,1.96,0,1.96,0,3.92,1.96,0,90.15,0,5.88,0,1.96,3.92,7.84,0,1.96,0,0,0,0,0,0,1.96,0,0,0
