stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,5.64,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,2.94,0,0,1.96,0,0,0,0.98,0,0,19.63,0,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0,5.31,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,0,1.09,0,0,1.09,1.09,0,0,6.56,0,0,0,0,0,0,0,0,3.28
108-118,0,0.77,0,1.53,0,0,1.53,0,0,0,0,0.77,0,16.85,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,11.76,0,1.96,0,0,0,0,0,0,0
