stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,0,0,0,0,5,0,0,0,6,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0.82,32.01,0.82,0,0,19.7,0,0,0
 36-46,0,0,0,6.45,0,0.81,0.81,0,0,0.81,131.32,2.42,0,0,48.34,0,0,0
 48-58,0,0.57,0,37.87,0,0,0.57,0,1.15,0,113.61,6.31,0,0.57,25.25,0,0,0
 60-70,0,1.96,0,109.93,0.98,0,3.93,0,0.98,0,146.25,4.91,0.98,0,31.41,0,1.96,0
 72-82,0,0.98,0.98,89.33,0.98,0,3.93,0,0.98,0,122.71,4.91,1.96,0,19.63,0,0,0
 84-94,0,0,0,83.9,0,0,1.06,1.06,1.06,0,67.97,4.25,8.5,0,13.81,1.06,0,0
 96-106,0,0,0,56.83,0,0,3.28,4.37,2.19,0,41.53,7.65,3.28,0,3.28,4.37,0,0
108-118,0,0.77,0,36,0,0,3.06,1.53,0,0,52.09,6.89,5.36,0,3.06,3.06,0,0.77
120,0,0,0,27.44,0,0,3.92,1.96,3.92,1.96,60.75,3.92,1.96,1.96,1.96,1.96,0,0
