stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0
 24-34,4.1,0,0.82,0,0,0,1.64,0,0,0,2.46,0,2.46,3.28,0,0.82,0,0,0,0.82,0,1.64,0,0
 36-46,1.61,0,0,0,1.61,0,0.81,0,0,0,4.03,0,0.81,8.86,0,0,1.61,0,0,3.22,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,0,0,0,3.44,0,0.57,5.74,0,0,1.15,0,0,0,0.57,1.15,0,0
 60-70,0,0,2.94,0.98,0.98,0.98,0,0,0.98,0,2.94,0,1.96,10.8,0,0,1.96,0,0,2.94,0,3.93,0,0
 72-82,1.96,0.98,2.94,0,0,0.98,0.98,0,0,0,2.94,0,0,3.93,0.98,0,0.98,0,0,0.98,0,4.91,1.96,0
 84-94,2.12,0,1.06,0,3.19,0,0,0,2.12,1.06,1.06,1.06,0,5.31,0,1.06,1.06,0,0,0,0,1.06,0,1.06
 96-106,2.19,0,1.09,0,1.09,0,2.19,0,1.09,1.09,1.09,0,0,5.46,0,1.09,0,0,0,1.09,1.09,2.19,0,0
108-118,2.3,0,0.77,0,1.53,2.3,0,0.77,0,0,0.77,0,0,2.3,0,0,0,0.77,0,0,0,3.06,0,0.77
120,5.88,0,1.96,0,1.96,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
