stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,3,18,3,8,0,0,4,1,1,0,1,0,0,0,0,7,0,7,88,3,0,2,3,0,14,1,9,25,0,0,0
 24-34,0,3.28,0.82,12.31,0,0,1.64,0,0,0,1.64,0,0,0.82,0,9.85,0,6.57,124.77,0,0.82,1.64,0,0.82,0,4.1,0.82,25.45,0,4.1,0
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,3.22,0,0,0,0,1.61,0.81,0.81,41.89,0,0.81,0,0,0.81,0,0,0,7.25,0,4.03,0
 48-58,0,0,0,3.44,0,0,1.15,0,0,0.57,4.02,0,0,0.57,0,2.3,0,0,8.03,0,0.57,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0,6.87,0,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,6.87,0,0,1.96,0,0,0,11.78,0,0,0,0,1.96,0,0,16.69,0,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,1.06,0,1.06,1.06,0,2.12,0,0,0,14.87,1.06,1.06,0,0,2.12,0,1.06,6.37,0,0,0,0,3.19,0,2.12,0,0,1.06,2.12,0
 96-106,0,0,0,7.65,0,0,0,0,0,0,19.67,0,0,1.09,0,5.46,0,1.09,10.93,0,0,1.09,0,0,0,1.09,0,2.19,0,1.09,1.09
108-118,0,0.77,0,3.06,0,0,3.06,0,0,0,18.38,0,0,0,0.77,0.77,0,0.77,10.72,0,0,0,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,3.92,0,1.96,1.96,0,0,0,15.68,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
