stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,57.83,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,56.65,3.15,0,0,28.32,0,3.15,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,10,3,0,0,2,1,1,0,0,0,0,0,0,0,5,40,0,0,1,0,0,0,7,0,4,21,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0,5.75,0.82,0,3.28,51.71,0,0,0.82,0,0,0,0,0,0.82,19.7,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,4.83,0,0,0.81,19.34,0,0.81,0,0,0.81,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,10.33,0,0.57,5.16,0,0,0,0,0,0.57,12.05,0,0,1.72,36.15,0,0.57,0,0,0,0,0,0,0,8.61,0,0,0.57,1.15
 60-70,0,0,0,0,0,9.82,0,0.98,3.93,0,0,0,0,0,0,5.89,0,0,0.98,44.17,0,0,0,0,0,0,0,0,0,8.83,1.96,0,0,0
 72-82,0,0,0,0,0,12.76,0,0,4.91,0,0,0,0,0,0,11.78,0,0.98,0.98,30.43,0,0,0,0,0,0,0,0,0,5.89,5.89,0,0.98,0
 84-94,0,0,0,0,1.06,10.62,0,0,4.25,0,0,0,0,1.06,1.06,3.19,0,0,1.06,9.56,0,1.06,0,0,0,0,0,0,0,0,32.92,0,0,0
 96-106,0,0,1.09,0,2.19,4.37,0,1.09,4.37,2.19,0,1.09,0,0,0,5.46,0,0,0,7.65,0,0,1.09,0,0,1.09,0,0,0,1.09,85.24,1.09,1.09,0
108-118,0,0,0,0,3.83,3.83,0.77,0,2.3,0,0,1.53,0,0,0,6.89,0.77,0,0,9.96,0,0.77,0,0,0,1.53,0,0.77,0,0.77,97.28,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,0,1.96,31.36,1.96,0,0
