stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,1.64,0,1.64,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0.57,0.57,0,0.57,10.33,0.57,1.72,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,0,1.96,0,0,10.8,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0,0,16.69,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,1.06,0,1.06,4.25,0,1.06,0,1.06
 96-106,0,0,0,2.19,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0
108-118,0,0,0,1.53,0,0,0,1.53,0.77,0,0,0.77,2.3,0,0,0,0
120,0,0,0,3.92,1.96,0,0,1.96,0,1.96,1.96,0,7.84,0,0,0,0
