stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,4,4,0,3,4,0,4,0,1,0,0,2,0,0,0,0,4,0,0,3,56,259,0,0,2,0,0,5,1,4,73,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,13.95,36.12,1.64,17.24,0.82,0,0,0,0.82,0,0,0,0,10.67,0,0,4.93,365.28,84.55,0,0,0,0,0,0,0,1.64,193.72,0,0,5.75,0,0
 36-46,0,0,0,1.61,0,0,13.7,47.53,4.03,62.04,0,0,0,0,0,0,0.81,0,0,20.14,0.81,0,2.42,236.87,74.93,0,0,0,0,0,0,0,0,248.95,0,0.81,10.47,0,1.61
 48-58,0,0,0,0.57,0.57,0,25.82,84.92,7.46,68.28,0.57,0,1.15,0,0.57,0,0,0,0,28.12,0,0.57,5.74,71.73,19.51,0,0.57,0,0,0.57,0,0,0,122.79,0,1.15,11.48,0,0.57
 60-70,0,0,0,1.96,0.98,0,37.3,68.71,10.8,52.02,1.96,0,0.98,0,0,0,0,0,0,77.54,0,1.96,2.94,45.15,9.82,0,3.93,0,0,0,0,0,0,24.54,0,9.82,6.87,0.98,3.93
 72-82,0,0,0,7.85,0.98,0,72.64,107,10.8,109.95,7.85,0,5.89,0,0.98,0.98,0,0,0,274.87,0,5.89,3.93,42.21,11.78,0,5.89,0,3.93,3.93,0,0,0,14.72,0,28.47,34.36,18.65,4.91
 84-94,0,0,0,5.31,0,0,90.27,164.62,4.25,61.6,18.05,0,6.37,0,0,0,0,0,0,163.55,0,12.74,3.19,31.86,15.93,0,12.74,0,1.06,4.25,0,0,0,9.56,1.06,18.05,44.61,7.43,8.5
 96-106,0,0,0,10.93,2.19,1.09,88.52,136.61,3.28,91.8,24.04,0,9.84,3.28,2.19,2.19,1.09,3.28,0,257.91,1.09,12.02,8.74,57.92,24.04,1.09,10.93,0,4.37,5.46,0,2.19,0,5.46,0,39.34,65.57,8.74,9.84
108-118,0.77,0,0,15.32,0.77,0.77,81.19,200.68,6.13,66.64,12.26,0,6.13,0,0.77,1.53,0,0.77,2.3,307.92,0,15.32,6.13,47.49,38.3,0.77,14.55,0,2.3,1.53,0,0.77,0,6.13,0.77,22.21,55.92,11.49,8.43
120,0,0,0,19.6,0,0,35.28,127.39,3.92,50.95,5.88,0,9.8,1.96,0,1.96,0,0,0,250.85,1.96,9.8,5.88,60.75,17.64,0,13.72,0,1.96,1.96,0,0,0,1.96,0,33.32,47.03,15.68,0
