stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,30,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,10,53,0,2,2,0,3,11,2,5,26,13,0,0,0,0,0
 24-34,0,0,0,0,4.1,0.82,1.64,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0,0,8.21,0,0,7.39,10.67,3.28,0,0,0,0.82,0,0.82,0.82,0.82,2.46,0,0,2.46,0,0.82
 36-46,0,0,0,0,5.64,4.03,4.83,0.81,1.61,0,5.64,0,0,2.42,0,0,0,0.81,0,0,13.7,0,0,1.61,10.47,1.61,0.81,0,0,4.03,0,1.61,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,5.16,9.18,1.15,0.57,0,1.72,0,0,1.15,0,0.57,0,1.15,0.57,0.57,14.92,0,0.57,5.74,13.2,1.15,0,0,0,1.15,0,0,0.57,0,3.44,0,0,0,0.57,0
 60-70,0,0,0,0,3.93,77.54,23.56,1.96,1.96,0,4.91,0,0,0.98,0,0,0.98,0,0.98,0,34.35,0,1.96,3.93,31.41,0.98,0.98,0,0,2.94,0,0,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,5.89,45.16,0.98,0,0,11.78,0.98,0,0.98,0,0,0,0,0,0,26.5,0,0,0.98,10.8,0,1.96,0,0.98,3.93,0,0.98,1.96,0,2.94,0.98,0.98,1.96,0,0
 84-94,0,0,1.06,0,4.25,19.12,39.3,1.06,2.12,0,7.43,0,0,1.06,0,1.06,0,0,0,3.19,23.36,0,0,5.31,10.62,0,4.25,0,0,6.37,0,0,0,0,1.06,1.06,1.06,0,0,1.06
 96-106,0,0,0,0,6.56,13.11,33.88,0,0,0,17.49,5.46,0,3.28,2.19,7.65,0,3.28,1.09,2.19,39.34,1.09,2.19,4.37,21.86,3.28,16.39,0,1.09,4.37,0,1.09,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,13.02,23.74,62.81,1.53,3.83,0.77,36.77,1.53,0,1.53,3.06,3.06,1.53,6.89,5.36,3.83,46.72,0,3.83,6.13,64.34,7.66,26.81,0,2.3,9.19,0,6.13,0,0,3.06,5.36,0.77,1.53,4.6,0
120,0,0,0,0,7.84,11.76,41.16,0,3.92,0,19.6,0,0,1.96,7.84,0,0,0,0,0,31.36,0,3.92,9.8,31.36,0,15.68,0,0,0,0,1.96,0,0,3.92,0,3.92,0,3.92,0
