stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,18.88,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,20,0,0,0,0,0,0,0,1,0,5,9,16,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,13.95,0,0,0,0.82,0,0,0,0,0,0,0,0,0,12.31,0,3.28,75.52,0.82,1.64,1.64,0,0,0,0,0,0,0,1.64,22.16,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,18.53,0,0,0.81,2.42,0,0,0.81,0,0,0.81,0,0,0,9.67,0,7.25,58.01,1.61,1.61,0,0,0,0,0,0,0,0.81,0,8.06,0,0,0,0
 48-58,0,0,0,1.15,0,0,32.13,0.57,0.57,1.72,6.31,0.57,0,0.57,0.57,0,0,0,0,1.15,19.51,0.57,5.74,59.68,0.57,0,0,0,0,0,0,0,0,0.57,0,16.64,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,0,32.39,0,0,0.98,6.87,0,0,0,1.96,0,0,0,0,0,27.48,0,3.93,43.19,0.98,0,0.98,0,0,0,0,0,0,0.98,0,4.91,1.96,1.96,0,0
 72-82,0,0,0,0,0,0,36.32,0.98,0,3.93,10.8,0,0,0,0,0,0,0,0,0,39.27,3.93,3.93,44.17,0,0.98,0.98,0,0,0,0,0,0,0,0,5.89,0,0,1.96,0
 84-94,0,0,0,1.06,2.12,0,35.05,2.12,0,2.12,5.31,1.06,0,0,2.12,0,0,1.06,1.06,0,26.55,1.06,5.31,25.49,1.06,0,1.06,0,1.06,1.06,0,0,0,0,0,5.31,0,3.19,0,2.12
 96-106,0,0,0,2.19,2.19,0,18.58,0,1.09,1.09,6.56,0,0,1.09,0,0,0,2.19,0,0,27.32,0,7.65,29.51,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,3.28,2.19,0,1.09
108-118,0,0,0,3.06,0.77,0.77,14.55,3.06,0,0.77,3.83,0.77,0,0,1.53,0,1.53,0.77,0,0,21.45,0.77,2.3,26.81,0,0,0,0,0,0,0,0,0,1.53,0,2.3,0,3.06,0,2.3
120,0,0,0,7.84,1.96,0,1.96,7.84,1.96,1.96,3.92,0,0,1.96,3.92,0,0,0,0,0,13.72,1.96,5.88,19.6,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
