stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,1,0,0,0,2,0,1,4,0,0,1,6,2,11,0,0,0
 24-34,0.82,0,1.64,0,5.75,0,0.82,0,0,0,0,0,0,10.67,0,0,0,0,0,7.39,0.82,0,0
 36-46,0.81,0,2.42,1.61,4.83,0,0.81,0,0,0,0,0,0.81,19.34,0.81,0,0,0,0,4.83,0,0,0
 48-58,0,0.57,3.44,0,4.02,0,0,0,0,0,1.15,0,0,21.23,0,0,0,0,0,2.87,0,0,0
 60-70,0.98,0,23.56,0,3.93,0.98,0,0,0,0,1.96,0,0,37.3,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,28.47,0,3.93,0,0,0,0.98,0,1.96,0,0,39.27,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,30.8,1.06,2.12,0,1.06,0,0,0,1.06,0,0,22.3,0,0,1.06,1.06,0,2.12,0,2.12,0
 96-106,2.19,0,38.25,0,4.37,0,0,1.09,0,1.09,0,1.09,0,18.58,0,0,0,0,0,1.09,0,0,1.09
108-118,0,0.77,39.83,0,2.3,0.77,0,0,0,1.53,0,0,0,30.64,0,0,1.53,0,0,2.3,0,0,0
120,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,27.44,0,0,0,0,0,1.96,0,0,0
