stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,1,7,2,3,0,0,0,0
 24-34,0,0,0,4.1,0,0,0,3.28,0,0,0,0.82,0.82,0,0,0,0,2.46,0,4.1,21.34,0.82,0,0,0.82,0,8.21,0.82,8.21,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,3.22,0,0.81,0,0.81,0.81,0,0,0,0,7.25,0,1.61,20.95,0,0,0,0.81,0,4.03,0,8.86,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,2.87,0,0,0.57,0.57,0,0,0,0,0.57,5.74,0.57,1.15,9.18,0,0,0,0,0,5.74,0,1.15,0,1.72,0,0.57
 60-70,0,0,0,0,0,0,0,5.89,0,0.98,2.94,0.98,0,0.98,0,0,1.96,3.93,0,0.98,13.74,0,0,0.98,1.96,0,0.98,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,0.98,1.96,2.94,0,0,2.94,1.96,0.98,0.98,0,0.98,3.93,6.87,0.98,3.93,14.72,0,0,0,0.98,0,1.96,0,3.93,0,10.8,2.94,0
 84-94,0,0,0,1.06,0,0,1.06,6.37,0,0,1.06,1.06,0,2.12,0,0,10.62,3.19,1.06,1.06,5.31,0,0,1.06,3.19,0,4.25,0,1.06,0,5.31,0,0
 96-106,0,0,1.09,2.19,3.28,1.09,5.46,3.28,0,0,2.19,1.09,2.19,1.09,4.37,0,12.02,4.37,1.09,1.09,3.28,0,0,5.46,8.74,0,5.46,0,0,0,22.95,2.19,0
108-118,0,0,0.77,3.83,2.3,0,15.32,1.53,0.77,0,0,0.77,0.77,1.53,5.36,0,16.09,4.6,2.3,0.77,6.13,0,0,1.53,1.53,0,6.13,0,0,0,15.32,2.3,0
120,0,0,0,0,1.96,0,7.84,0,0,1.96,0,0,0,3.92,0,1.96,9.8,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0,9.8,0,0
