stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,2,67,0,1,0,0,0,0,0,0,27,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,7.39,0,0,0,3.28,0,0,0,0,0,0,0,0,33.66,0,0,4.93,424.38,0,3.28,0,0,0.82,0,0,0,86.19,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,25.78,0,0,0.81,0.81,0,0,0,0,0,0,0,0,26.59,0,1.61,3.22,1344.66,0.81,8.86,0,0,2.42,0,0,0,191.75,0,0,0,0,0.81
 48-58,0,0,0,0,6.89,0,0,219.19,0,1.15,1.15,11.48,0,1.15,0,0,0.57,0,1.15,0.57,31.56,0.57,0.57,1.72,1901.59,0.57,1.72,1.15,0,2.3,0,0.57,0,219.19,0,0,2.87,0.57,0.57
 60-70,0,0,0,0,5.89,1.96,0,826.44,0,0.98,0,8.83,0.98,0,1.96,0,0.98,0,0,0.98,28.46,0,0.98,0,2639.31,0,0.98,0.98,0,4.91,0,1.96,0,219.86,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,8.83,1.96,0,1026.82,0.98,0,0.98,49.08,1.96,0,0.98,0.98,0.98,0.98,0,0,38.28,0,1.96,5.89,2031.06,0.98,4.91,1.96,0,0.98,0,0.98,0,97.18,1.96,0,3.93,1.96,0.98
 84-94,0,0,0,0,15.93,1.06,0,621.29,1.06,0,2.12,47.79,1.06,1.06,3.19,0,1.06,0,0,0,43.54,0,1.06,2.12,1071.6,0,5.31,3.19,0,6.37,0,0,1.06,58.41,0,2.12,2.12,2.12,1.06
 96-106,0,0,0,0,14.21,3.28,0,514.73,1.09,0,0,42.62,1.09,2.19,7.65,1.09,0,0,3.28,1.09,30.6,0,2.19,4.37,797.78,0,3.28,3.28,0,3.28,1.09,0,0,25.14,1.09,2.19,1.09,3.28,1.09
108-118,0,0,0,0,15.32,3.83,0.77,323.24,0.77,0,1.53,28.34,0,0.77,3.83,0,0.77,0.77,1.53,0,27.57,0,3.06,2.3,807.32,0.77,2.3,0.77,0,2.3,0,0,0,18.38,2.3,1.53,1.53,2.3,0.77
120,0,0,0,0,11.76,3.92,0,301.81,0,1.96,3.92,72.51,1.96,0,0,1.96,0,0,0,0,29.4,0,1.96,9.8,975.97,1.96,3.92,0,0,0,0,1.96,0,23.52,0,1.96,5.88,5.88,0
