stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,2029.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,49.04,422.94,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,8,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0.82,0,12.31,0,0,9.85,0,0,0,0,0,0,7.39,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,19.34,0,1.61,23.36,0.81,0,0,0,0,0,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,0,3.44,1.15,0,0,16.07,0,0.57,23.53,0,0.57,0,0,0,0,5.74,0,0,1.15,0,0
 60-70,0,0,0,0,0,10.8,0,0,1.96,22.58,0,1.96,26.5,0,0,0,0.98,0,0,4.91,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,12.76,3.93,0,0.98,38.28,0,0.98,32.39,0,1.96,0,0,0,0,0.98,0,0.98,6.87,0,0
 84-94,0,0,0,0,0,8.5,2.12,0,0,59.47,0,0,10.62,0,2.12,0,0,0,0,2.12,0,0,3.19,0,0
 96-106,0,0,0,0,1.09,5.46,1.09,0,1.09,68.85,0,2.19,18.58,0,1.09,0,1.09,0,0,0,0,0,4.37,0,0
108-118,0,0,0,0.77,0.77,3.06,0.77,0,0.77,50.55,0,0.77,13.02,0,0.77,0,0,0,0,0.77,0.77,0,3.83,0.77,0
120,0,0,0,1.96,1.96,5.88,3.92,0,0,50.95,1.96,1.96,7.84,0,0,0,0,0,0,0,0,0,3.92,0,0
