stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0.82,0.82,0,0,0,11.49,0,2.46,0,0.82,0,0.82,0,9.85,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,49.95,0.81,0.81,0,0,0,0,0,9.67,0,0
 48-58,0,0,0,0,9.75,0,0,1.72,0,0,0,0,0.57,0,0,52.79,0.57,0,0,0.57,0,0,0,12.62,0,0
 60-70,0,0,0,0.98,56.93,0,0,1.96,1.96,0,0,0,5.89,0,0,136.43,0,0.98,0,0.98,0,0,0,17.67,0,0
 72-82,0,3.93,0,0.98,107.98,0,0.98,7.85,3.93,0,0,0,29.45,0,0.98,159.03,1.96,0,0,0,0,0,0,13.74,0.98,0
 84-94,0,6.37,0,1.06,87.09,0,0,4.25,4.25,0,1.06,0,11.68,0,0,92.4,0,4.25,0,0,0,0,0,7.43,0,0
 96-106,0,10.93,0,0,68.85,0,1.09,4.37,4.37,1.09,0,1.09,12.02,0,2.19,119.12,2.19,4.37,0,1.09,0,0,0,0,3.28,1.09
108-118,0,4.6,0,1.53,87.32,0,0,9.96,0.77,0,0.77,0,13.02,0.77,0,121.79,0.77,3.83,0,0,0,0,0.77,5.36,3.06,0
120,0,7.84,0,1.96,96.03,1.96,0,3.92,1.96,0,0,0,15.68,0,0,162.66,0,1.96,0,0,0,0,0,0,0,0
