stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,0,12,17,9,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,11.49,0,0.82,0.82,0,0,0,0,0,0,5.75,4.93,0,0,0,0,2.46
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,9.67,0,4.83,0,0,0.81,0,0,0,0,0.81,8.86,0,0,0,0,1.61
 48-58,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,1.15,9.18,0,3.44,0,0,0,0,0,0,0,0,10.33,0,0,0,0,9.18
 60-70,0,0,0,0,187.47,0,0,0,0.98,0,0,0.98,0,0,30.43,0,0,0,0.98,0,0,1.96,14.72,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,4.91,0.98,756.86,0,0,0.98,9.82,0,0,0.98,0,0,31.41,0.98,0,0,21.6,0,0,2.94,49.08,0,1.96,1.96,0,0,0,0,0,0,0,3.93,0,0,3.93,1.96,7.85
 84-94,0,0,10.62,0,788.03,1.06,1.06,0,4.25,0,0,1.06,0,1.06,36.11,0,1.06,0,9.56,0,0,4.25,16.99,1.06,1.06,0,0,3.19,0,0,0,0,0,2.12,1.06,0,2.12,0,3.19
 96-106,0,0,12.02,0,760.62,1.09,0,0,7.65,1.09,0,0,2.19,0,30.6,1.09,1.09,0,9.84,0,1.09,5.46,44.81,0,6.56,4.37,0,4.37,0,0,1.09,1.09,0,4.37,0,1.09,3.28,0,10.93
108-118,0,0,6.13,3.06,570.64,0,1.53,0,5.36,0.77,0,0.77,2.3,0,47.49,0,0,0,20.68,0,2.3,5.36,68.17,0.77,6.13,1.53,0,3.83,0,0,0,0,0,4.6,1.53,0,3.83,0.77,19.15
120,0,0,11.76,1.96,670.25,0,0,0,3.92,0,0,0,0,1.96,23.52,0,0,0,1.96,1.96,0,1.96,48.99,1.96,3.92,1.96,0,7.84,0,0,1.96,0,0,3.92,1.96,0,0,0,9.8
