stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,periderm,pronephros,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,1.72,0,0.57,0,1.15,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,3.93,24.54,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.55,0,0,0,1.06
 96-106,0,1.09,0,1.09,0,0,1.09,0,1.09,2.19,0,0,2.19,0,3.28,15.3,0,0,1.09,0
108-118,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0,0.77,0.77,21.45,0,0,0,0
120,0,3.92,0,0,0,1.96,0,0,0,1.96,1.96,0,1.96,0,1.96,66.63,0,1.96,0,0
