stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,5.26,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,122.73,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,846.53,6.29,0,0,22.03,0,50.35,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,700,1,0,1,0,1,0,1,1,0,1,0,50,0,0,19,4,0,10,9,2,0,0,0,0,415,1,4,1,1,5,0,0,0,0,0
 24-34,0,0,0.82,163.35,0.82,0,1.64,0,7.39,0,0.82,1.64,0,2.46,0.82,9.03,0,7.39,42.68,4.93,0,7.39,30.37,0,3.28,0,0,0,521.24,0,2.46,0,0.82,2.46,0,0,1.64,0,0
 36-46,0,0,0,61.23,0,0,0.81,0.81,8.86,0,1.61,3.22,0,4.83,0,0.81,0,0,39.48,0.81,0,3.22,15.31,0.81,2.42,0.81,0,0,248.15,0,1.61,0,0,1.61,0,0,2.42,0,0
 48-58,0,0,0,29.84,0,0,7.46,0.57,11.48,0.57,1.72,10.33,0,1.15,0,1.72,0,2.87,43.61,0,2.3,1.72,12.62,0.57,1.15,2.87,0,0,117.63,0,1.72,0,0,0,0,0,7.46,0,0.57
 60-70,0,0,0,53.98,0,0,7.85,0,22.58,0.98,2.94,35.33,0,0,0,0.98,2.94,2.94,51.04,0,1.96,0,14.72,0,2.94,3.93,0,0.98,94.23,0,1.96,0,0,0,0.98,1.96,8.83,0,0.98
 72-82,0,0.98,0,85.4,0.98,0,9.82,0,14.72,0.98,4.91,152.16,0,0.98,0,2.94,3.93,11.78,93.26,1.96,5.89,2.94,32.39,0,11.78,3.93,0,0.98,88.35,0,0,0,0,0,0,0,8.83,0,0
 84-94,0,0,1.06,181.61,0,0,7.43,0,31.86,0,6.37,293.12,0,0,0,11.68,1.06,73.28,60.54,4.25,6.37,0,22.3,0,8.5,5.31,0,0,190.1,0,2.12,1.06,0,0,1.06,1.06,10.62,4.25,1.06
 96-106,0,4.37,1.09,189.06,1.09,1.09,8.74,0,19.67,0,6.56,298.35,0,3.28,1.09,8.74,2.19,104.91,71.04,4.37,6.56,2.19,62.29,0,21.86,8.74,0,0,154.09,0,0,0,0,1.09,1.09,1.09,7.65,0,0
108-118,0,0,1.53,152.43,0.77,0,8.43,0,26.81,0.77,4.6,213.7,0,0,0.77,19.15,3.83,135.58,53.62,0.77,5.36,1.53,64.34,0,14.55,6.13,0,0.77,121.02,0,3.83,0,0,2.3,2.3,2.3,6.89,0,0
120,0,0,0,125.43,1.96,0,0,0,13.72,0,0,115.63,0,0,1.96,5.88,1.96,70.55,39.2,0,0,1.96,48.99,0,5.88,0,0,0,92.11,0,1.96,0,0,3.92,0,0,0,0,0
