stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,124,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,8,4,0,0,1,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,63.21,0,0,0,0,0.82,0,0,0,0,0,0,0.82,18.88,0,0,78.8,7.39,0.82,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,35.45,0,0.81,0,0,0.81,0,0,0,0,0,0,0,21.75,0,0,97.49,4.83,0,0,0,0,0,0,0.81,3.22,0,0.81,0,0,0
 48-58,0,0,32.71,0,3.44,0.57,0,3.44,0.57,0,0,0,0,0.57,0,48.77,0,0,51.07,5.16,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,31.41,0,1.96,0,0,0,0,0,0,0,0,0,0,37.3,0,0,25.52,2.94,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,53.01,0,9.82,0,0,6.87,0,0.98,0.98,0.98,0,0,0,84.42,0,0,29.45,9.82,0,0,0,0.98,0.98,0,0,0,0,3.93,0.98,0,0
 84-94,1.06,0,79.65,0,9.56,0,0,3.19,1.06,0,0,0,1.06,0,0,40.36,0,0,16.99,3.19,1.06,0,0,0,0,0,0,0,4.25,3.19,0,2.12,0
 96-106,0,0,111.47,0,5.46,0,0,10.93,0,1.09,0,1.09,0,0,0,63.39,0,1.09,16.39,7.65,0,0,0,0,0,0,0,0,12.02,2.19,0,0,1.09
108-118,0,0,71.23,0.77,0.77,0,0,3.06,0,1.53,0.77,3.06,0,0,0,52.85,0.77,0,11.49,6.89,0,0.77,0,1.53,0,0,0,0,14.55,2.3,0,0,0
120,0,0,64.67,3.92,5.88,0,1.96,1.96,0,0,0,5.88,0,0,0,56.83,0,0,5.88,15.68,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0
