stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,1,1,0,0,0,0,0,1,0,2,1,2,0,0
 24-34,1.64,0,0,0,0,0,0,0,0.82,5.75,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0.81,1.61,4.03,0,0,1.61,0
 48-58,0,3.44,0,0,0.57,0,0,3.44,1.72,2.3,0,0,0.57,0
 60-70,0,11.78,0,0.98,0,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,17.67,0,0,0,0,0,2.94,1.96,2.94,0,0,0,0.98
 84-94,0,16.99,0,2.12,0,0,1.06,1.06,0,2.12,0,0,0,0
 96-106,0,9.84,0,1.09,0,0,0,2.19,0,0,0,0,0,0
108-118,0,6.89,0.77,0,0,0,0,0,0,1.53,0,0,0,0
120,0,15.68,0,0,0,1.96,0,0,0,0,0,0,0,0
