stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,1,1,0,1,0,0,0
 24-34,0,0,0,0,0.82,0.82,0.82,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,2.3,0,0.57,0,0.57,0,0.57
 60-70,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0
 72-82,0.98,2.94,0.98,0,0.98,0,3.93,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,5.31,1.06,0,0,2.12,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,1.53,0.77,0.77,0,0,3.06,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0
