stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,2,0,0,0,0,0,3,2,2,0,0,0,0,0,27,0,0,6,28,0,0,0,0,0,0,0,2,0,5,85,0,0,1,0,0
 24-34,0,5.75,0,4.93,4.93,2.46,0,0,0,2.46,0,0.82,0.82,0,0,0.82,5.75,0,64.03,0,0,12.31,202.75,0,1.64,0.82,0,0,0.82,0,0,0.82,0,214.24,0,0,14.78,0,0
 36-46,0,0.81,0,2.42,3.22,5.64,0,0,0,6.45,0,0,1.61,0,0,0,5.64,0,69.29,0,0,37.87,245.73,0,1.61,0.81,0,0,0,0,0,0,0,323.07,0,0,5.64,0,0
 48-58,0,2.3,0,2.87,0,17.79,0,0,1.72,21.8,0,0,1.72,0,0,0,2.3,0,127.38,0,0.57,51.07,302.97,0,2.87,0,0,0,1.15,0,0,0,0,246.16,0,0,1.72,0,0.57
 60-70,0,3.93,0,5.89,0,51.04,4.91,0,0.98,27.48,1.96,0,2.94,0,0,0.98,1.96,0,147.23,0,0,38.28,448.56,0,0,0.98,0,1.96,0.98,0,0,0,0,181.58,0,0.98,1.96,0.98,1.96
 72-82,0,25.52,0,22.58,0.98,94.24,2.94,0,1.96,21.6,8.83,0,5.89,0.98,0,0.98,0.98,1.96,193.39,0,0.98,47.12,419.17,0,0.98,0,0,0,0,0.98,0,0,0,117.8,1.96,2.94,0.98,1.96,0
 84-94,0,22.3,0,24.43,0,70.09,3.19,1.06,0,19.12,8.5,0,1.06,1.06,0,1.06,4.25,1.06,152.93,0,1.06,31.86,313.3,0,0,2.12,0,1.06,0,0,0,0,0,71.16,3.19,2.12,7.43,0,0
 96-106,0,12.02,0,16.39,0,45.9,9.84,1.09,1.09,20.76,10.93,0,1.09,1.09,0,0,1.09,0,113.66,0,2.19,28.41,214.2,0,6.56,3.28,0,2.19,1.09,3.28,0,0,0,39.34,0,2.19,1.09,2.19,1.09
108-118,0,12.26,0,6.89,1.53,39.06,5.36,0.77,0.77,22.21,6.89,0,0,0,0.77,0,0.77,0.77,72.77,0,1.53,22.98,217.53,0,0.77,0,0,0,0,0,0,0,0,26.04,1.53,0.77,1.53,1.53,0
120,0,9.8,0,9.8,0,25.48,5.88,1.96,0,7.84,5.88,0,3.92,0,0,0,0,0,68.59,1.96,1.96,11.76,286.13,1.96,0,1.96,0,0,3.92,0,0,0,0,31.36,1.96,0,3.92,0,0
