stage,epidermis,eye,glial,heart,immune,lateral.line,mesenchyme,neural,otic,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0,0,2.46,0,1.64,0
 36-46,0,1.61,0,0,0,0.81,0.81,6.45,1.61,2.42,0
 48-58,0,0.57,0,0.57,0,1.15,0.57,3.44,2.3,0,0
 60-70,0,0.98,0.98,0,0,2.94,0,4.91,6.87,0.98,0
 72-82,0.98,0.98,0,0,0,3.93,0.98,3.93,15.71,0,0.98
 84-94,0,1.06,0,0,0,5.31,0,1.06,24.43,1.06,0
 96-106,0,1.09,0,0,1.09,22.95,4.37,1.09,44.81,2.19,0
108-118,0,1.53,0.77,0,0,10.72,0.77,4.6,26.81,1.53,0
120,0,0,0,0,0,19.6,0,1.96,27.44,0,0
