stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,67,0,0,0,0,0,0,0,0,7,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,4.1,0.82,0.82,0.82,0,0,0.82,0.82,2.46,0,0,1.64,217.53,0.82,2.46,0,0,0,0,0,0,26.27,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,10.47,0,7.25,0,0,0,0,0,4.83,0,0,0.81,491.46,0.81,4.03,0,0,0,0,0,0,55.59,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,53.94,0,9.18,0,0,0,0,0.57,8.61,0,0,0,607.66,0,5.16,0,0,0,0.57,0.57,0,90.09,0,0.57,2.3,0,0
 60-70,0,0,0,0,0,0,194.34,0,12.76,0,0,0,0,0,4.91,0.98,0.98,0,816.63,0,2.94,0,0,0,0,0,0,75.58,0,0,1.96,0,0.98
 72-82,0,0,0,2.94,0,0,207.13,0.98,19.63,0,0,0.98,0,0,17.67,0,0,1.96,681.27,0,5.89,0,0,0,0,0,0,41.23,0,0.98,11.78,0.98,0
 84-94,0,1.06,0,3.19,1.06,0,139.13,1.06,21.24,1.06,0,1.06,0,0,11.68,1.06,4.25,1.06,347.29,0,7.43,1.06,0,0,1.06,0,0,30.8,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,0,1.09,122.4,0,16.39,0,1.09,2.19,0,0,13.11,0,0,0,297.25,0,5.46,3.28,0,0,1.09,0,0,12.02,0,1.09,14.21,1.09,0
108-118,0,0,0,2.3,0.77,0.77,94.21,0,10.72,0,0,0,0,0,7.66,0,0,0,339.32,0,5.36,0,0,0.77,0.77,0,0,8.43,1.53,0,5.36,1.53,0
120,0,0,0,5.88,0,0,88.19,0,7.84,0,0,0,0,0,1.96,1.96,0,0,319.45,0,9.8,0,0,0,0,0,1.96,7.84,0,0,5.88,1.96,0
