stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,2,2,1,0,1,2,4,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,20.52,0.82,1.64,0.82,0,20.52,0,0.82,0,0.82,4.1,0,1.64,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,2.42,0.81,0,0,0.81,0,0.81,0,3.22,0,0,0.81,24.17,0.81,0,0,0,6.45,0,0,0.81,0,4.03,0,1.61,0,0
 48-58,0,0.57,0,1.15,0,0,4.59,0,0.57,1.15,1.15,0,0,0,0,0,0.57,5.16,0,0,0,14.92,0,1.15,0,0,5.16,0,0,0,0,6.31,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,1.96,0,0,2.94,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0,8.83,0.98,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,7.85,0,7.85,0,0,2.94,0,0,0,0.98,0,0.98,0,9.82,0,0,1.96,9.82,0,1.96,0.98,0,2.94,0,0,0,0,1.96,0,0,1.96,0
 84-94,0,0,0,5.31,3.19,0,3.19,0,1.06,1.06,3.19,1.06,0,1.06,0,1.06,0,3.19,0,0,0,12.74,0,0,1.06,0,7.43,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,4.37,3.28,0,3.28,0,0,2.19,1.09,0,2.19,0,0,2.19,0,4.37,1.09,0,0,2.19,0,2.19,3.28,0,12.02,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,4.6,0.77,3.06,0.77,0,0,0.77,0,1.53,0.77,1.53,1.53,0,4.6,0.77,0,0,3.06,0,1.53,0.77,0,12.26,0,0,0,0,1.53,0,0,0,0.77
120,0,1.96,0,5.88,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,7.84,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
