stage,blastomeres,epidermis,eye,fast.muscle,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,263.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,6.13,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,13.14,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,1.61
 48-58,0,0,0,1.15,0,0,0,0.57,4.59,0,0,1.15
 60-70,0,0,0,1.96,0,0,0.98,0.98,1.96,0,0,0.98
 72-82,0,0,0,1.96,0,0,0.98,0,3.93,0.98,0,0
 84-94,0,0,3.19,2.12,0,1.06,1.06,0,2.12,0,0,0
 96-106,0,0,1.09,4.37,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,3.83,0,0,2.3,0,4.6,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,0,0,0
