stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,3.28,0.82,0,0,0,2.46,0,0.82,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,1.72,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,3.93,1.96,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,8.5,4.25,1.06,1.06,0,1.06,3.19,0,1.06,0,0,1.06,0,0,0,0,0,0,11.68,0,0,0,0,1.06
 96-106,0,0,0,0,9.84,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,2.19,0,0,0,0,12.02,0,0,0,0,0
108-118,0,0,0.77,0,11.49,0.77,0.77,0,0.77,0,2.3,0.77,0,0,0,0,0,1.53,0,0,0,0,4.6,0,0.77,0,0,0
120,0,0,0,0,3.92,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,7.84,0,0,0,3.92,0
