stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0,0.82,0,4.93,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,2.42,0,0,1.61,0.81,0,0,0,0.81,5.64,0,0,0,0,7.25,0,0,10.47,0.81,0,0.81,0.81,0,0.81,1.61,0,0,0,0
 48-58,0,2.87,0,0,0,0.57,0,0.57,0,0,13.77,0,0.57,0,0,1.15,0,1.15,6.31,0,1.72,0,0,0,0,0.57,0,0.57,0,0.57
 60-70,0,2.94,0,4.91,2.94,0,0,0,1.96,0,10.8,0,0.98,0,0,4.91,1.96,0,8.83,0,0.98,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,7.85,0.98,3.93,0,0,0,2.94,0,0,18.65,0,2.94,0,0.98,10.8,0,0,6.87,0,0.98,0,1.96,0,2.94,0.98,0,0,0,0
 84-94,0,7.43,0,4.25,2.12,1.06,1.06,8.5,0,0,46.73,0,1.06,0,0,8.5,3.19,0,5.31,0,0,1.06,3.19,0,3.19,0,1.06,1.06,0,0
 96-106,0,14.21,0,5.46,3.28,2.19,4.37,10.93,0,0,64.48,1.09,0,0,0,10.93,6.56,0,5.46,0,3.28,0,3.28,0,4.37,0,0,1.09,0,0
108-118,0.77,9.96,0,5.36,5.36,1.53,2.3,7.66,0,0,40.6,1.53,0,0.77,0.77,9.96,1.53,0,3.06,0,0.77,0,3.83,0,4.6,0,0,4.6,0,0
120,0,17.64,0,3.92,3.92,3.92,0,7.84,0,0,64.67,1.96,1.96,0,0,9.8,1.96,1.96,5.88,0,3.92,0,3.92,0,7.84,0,0,1.96,1.96,0
