stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,114,1,0,0,1,0,0,0,0,13,2,102,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,12.31,1.64,0,0,1.64,0.82,0.82,0,0,0,0,0.82,0,7.39,0,0,5.75,1148.38,0,9.03,1.64,0,0,2.46,0,1.64,8.21,3.28,325.88,0,0,2.46,0,0
 36-46,0,0,0,3.22,0.81,0,48.34,8.86,1.61,0.81,5.64,0,2.42,0.81,0,0,0,0,0.81,8.06,0,0,4.03,2755.39,0.81,10.47,0,0,0,4.03,0.81,0,12.89,1.61,484.21,0,0,0.81,0,0.81
 48-58,0,0,0,12.05,0.57,0,462.49,13.77,1.72,1.72,36.72,0,3.44,1.15,0,1.15,1.15,0.57,1.72,38.44,0,2.87,6.89,3953.52,0.57,7.46,1.72,0,0.57,8.03,0,0,21.8,0,601.35,0,0,6.31,0,2.87
 60-70,0,1.96,0,6.87,1.96,0,1433.02,10.8,0.98,4.91,49.08,0.98,0,0,0,0.98,0,0,0,39.26,0.98,0,7.85,5124.53,1.96,7.85,0,0,0,11.78,0,1.96,8.83,0,576.15,0,0.98,2.94,0,4.91
 72-82,0,0,0,39.27,15.71,0.98,2255.86,7.85,6.87,8.83,134.49,7.85,4.91,3.93,2.94,3.93,0.98,1.96,0,100.13,0.98,5.89,6.87,4531.35,1.96,8.83,4.91,0,2.94,9.82,0,2.94,5.89,0,372.05,0.98,6.87,12.76,1.96,16.69
 84-94,0,1.06,0,64.78,6.37,1.06,1393.39,8.5,3.19,3.19,133.82,4.25,1.06,5.31,2.12,4.25,2.12,2.12,0,88.15,2.12,4.25,3.19,2370.47,2.12,6.37,4.25,0,1.06,21.24,0,1.06,5.31,0,221.97,1.06,4.25,7.43,5.31,1.06
 96-106,0,1.09,0,54.64,15.3,2.19,1364.97,8.74,7.65,0,135.51,4.37,2.19,6.56,1.09,3.28,2.19,6.56,0,74.31,3.28,6.56,4.37,1909.2,2.19,4.37,2.19,0,2.19,15.3,0,0,12.02,0,99.45,1.09,3.28,6.56,2.19,3.28
108-118,0,0,0,36.77,0.77,0.77,883.92,5.36,0,2.3,80.43,6.13,1.53,1.53,1.53,1.53,2.3,1.53,0,53.62,0,0,7.66,2451.85,0.77,9.19,2.3,0,0,8.43,0,0.77,3.83,0,73.53,0.77,1.53,4.6,3.06,0.77
120,0,1.96,1.96,35.28,1.96,0,725.12,5.88,3.92,5.88,78.39,9.8,3.92,7.84,1.96,3.92,0,3.92,0,50.95,1.96,0,21.56,2688.83,1.96,5.88,5.88,0,1.96,13.72,0,1.96,0,0,72.51,0,1.96,3.92,1.96,1.96
