stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,12.59,0,0,0,12.59,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,2,0,1,2,0,0,0,7,0,3,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,2.46,21.34,0,4.1,3.28,0,0,0,0,0.82,4.1,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0.81,31.42,0,8.86,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0.57,0.57,0,30.99,0,2.87,0.57,0,0.57,0,0,0,0.57,0.57,0
 60-70,0,0,0.98,0,0,0.98,0,0.98,0.98,25.52,0.98,2.94,3.93,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0.98,0,1.96,0,2.94,2.94,42.21,0.98,0,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,3.19,2.12,1.06,0,28.68,2.12,0,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,26.23,3.28,1.09,4.37,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,1.53,1.53,1.53,22.21,0.77,0,3.83,0,6.13,0,0,0,0,1.53,0.77
120,0,0,0,0,0,3.92,1.96,1.96,1.96,11.76,3.92,0,1.96,0,0,0,0,0,0,3.92,0
