stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,4,0,0,0,0,1,0,1,0,0,0,5,0,0,0,2,11,0,0,2,0,0,6,0,3,2,0,1,5,0,1,0,0
 24-34,0,0,0,0.82,2.46,0,1.64,0,0.82,0,0,0,0,0,0,0,0,7.39,1.64,0,0,0.82,34.48,0,0.82,0.82,0,0,41.86,0.82,0,0,0,0.82,11.49,0,0,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0.81,35.45,0,0.81,0,0,0,33.03,0,0,0,0,0,9.67,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,9.18,0.57,0.57,0,4.59,0,0,0,0,3.44,0,0,4.02,0,0,0,32.71,0,1.15,0.57,0,0,19.51,0,0,0,0,0,13.77,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,32.39,0,0,0,12.76,0,0,0,0,20.61,0,0.98,7.85,0.98,0.98,0,55.95,1.96,0.98,0,0,0,28.46,0,0,0.98,0,0,10.8,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,59.88,0.98,0.98,0.98,7.85,1.96,0,0.98,0.98,26.5,2.94,1.96,22.58,0,0,0.98,71.66,0.98,2.94,1.96,0,0,25.52,0,0,0.98,1.96,0,6.87,0,3.93,0,0
 84-94,0,0,0,0,5.31,0,47.79,0,1.06,0,8.5,6.37,0,0,0,19.12,0,1.06,10.62,2.12,1.06,0,36.11,1.06,3.19,0,0,1.06,93.46,0,0,0,0,0,5.31,0,2.12,0,0
 96-106,0,0,0,0,3.28,2.19,31.69,1.09,0,1.09,6.56,5.46,0,0,1.09,12.02,0,1.09,9.84,2.19,0,1.09,31.69,1.09,3.28,2.19,0,0,73.22,0,0,1.09,0,0,1.09,0,4.37,1.09,1.09
108-118,0,0,0.77,0,5.36,1.53,24.51,0,0.77,0.77,13.02,3.06,0,0,1.53,19.92,0,0,8.43,0.77,0.77,0.77,37.53,0,2.3,0.77,0,0,53.62,0,0,0.77,1.53,0,2.3,0.77,3.83,0.77,0
120,0,0,0,0,5.88,0,25.48,0,1.96,1.96,5.88,5.88,0,0,1.96,13.72,0,1.96,11.76,1.96,0,0,47.03,0,0,1.96,0,0,25.48,0,0,0,0,0,0,1.96,3.92,0,0
