stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,7.89,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,6,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,7.39,0,0,0,0,0,0.82
 36-46,0,0,0,3.22,0,0,0,0.81,0,8.06,0,0,0,0,3.22,0
 48-58,0,0.57,0,5.74,0.57,0,0.57,0.57,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,12.76,0.98,0,0,0.98,0.98,4.91,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,0,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
