stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,103.85,6.29,0,0,15.73,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,1,31,2,0,19,0,0,0,1,0,0,1,0,0,0,11,0,12,0,0,13,111,1,0,1,1,0,30,1,12,0,5,24,0,0,1,0,2
 24-34,0,0,2.46,22.16,0.82,0,41.04,0,0,0.82,4.1,2.46,2.46,13.13,1.64,2.46,0,30.37,7.39,28.73,7.39,0,8.21,157.6,0.82,0.82,1.64,0,0,186.33,0,0.82,0.82,0.82,22.98,0,0,9.85,0,7.39
 36-46,0,0,0,6.45,0,0,24.98,0,0,0,8.06,0,0.81,22.56,0,7.25,0,10.47,4.03,28.2,4.83,0.81,7.25,70.9,0,1.61,1.61,0,0,153.88,0,0,4.03,0,11.28,0,0,12.09,0,5.64
 48-58,0,0,0.57,6.89,0.57,0,49.92,0.57,2.3,1.15,24.1,3.44,1.15,43.04,1.72,4.02,0,10.9,4.02,41.89,2.3,0.57,8.03,39.02,0,0,2.3,0,0,113.61,0,0,4.02,0,15.49,0,0,10.33,0.57,11.48
 60-70,0,0,0,16.69,0,0,65.76,0,1.96,3.93,36.32,21.59,1.96,50.06,0.98,10.8,0.98,25.52,0.98,78.52,3.93,0,2.94,32.39,0.98,0,0.98,0,0,104.04,0,0,14.72,0,8.83,0,0,10.8,0,11.78
 72-82,0,0.98,0,30.43,2.94,0.98,79.51,0.98,0,5.89,88.35,116.82,4.91,77.55,4.91,10.8,0,99.15,4.91,131.54,6.87,0.98,12.76,71.66,0,0.98,5.89,0,1.96,106.02,0,0,43.19,0,8.83,1.96,1.96,19.63,2.94,6.87
 84-94,0,0,0,57.35,10.62,6.37,155.06,2.12,10.62,5.31,43.54,212.41,0,116.82,11.68,11.68,1.06,302.68,6.37,71.16,6.37,1.06,8.5,53.1,0,2.12,3.19,0,0,296.31,0,0,90.27,0,5.31,3.19,0,19.12,4.25,14.87
 96-106,0,3.28,0,69.94,6.56,4.37,148.63,1.09,5.46,4.37,87.43,309.28,1.09,113.66,16.39,16.39,2.19,489.6,4.37,133.33,13.11,4.37,13.11,139.88,0,0,7.65,0,0,218.57,0,0,118.03,0,5.46,1.09,2.19,32.79,2.19,17.49
108-118,0,0,1.53,88.09,3.83,16.85,137.11,0,12.26,6.13,78.13,344.68,0,80.43,13.02,24.51,3.06,1030.22,2.3,132.51,9.19,0,18.38,117.19,2.3,1.53,12.26,0,2.3,248.17,0,0,117.96,0,0,3.83,3.06,32.17,3.83,12.26
120,0,3.92,0,103.87,17.64,3.92,64.67,0,9.8,17.64,78.39,211.66,0,125.43,17.64,19.6,0,470.35,1.96,119.55,11.76,3.92,11.76,86.23,5.88,3.92,3.92,0,0,299.85,0,0,76.43,0,0,5.88,1.96,23.52,9.8,3.92
