stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,1.15,0,0,0,0.57,0,0,0,0.57,0,0,0,0,3.44,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,1.96,0,0,0,2.94,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,0,16.69,0.98,0,0,3.93,0,0,2.94,0,0.98,0,0
 84-94,0,0,2.12,0,0,3.19,0,0,38.23,2.12,2.12,0,4.25,0,0,1.06,1.06,0,1.06,0
 96-106,0,1.09,0,0,1.09,4.37,0,1.09,104.91,0,2.19,1.09,16.39,1.09,0,3.28,0,0,0,1.09
108-118,0,0,1.53,0.77,0,0.77,0,0,98.81,1.53,1.53,0,17.62,0.77,0.77,3.06,0.77,0.77,0,0
120,0,0,0,0,0,0,1.96,0,62.71,0,1.96,0,17.64,0,0,1.96,3.92,0,1.96,0
