stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,pronephros,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0
 14-21,1,2,0,0,0,0,1,1,3,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,7.39,0,0,0,0
 36-46,0,0.81,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0,1.15,0,1.15,0,1.72,0,0.57,0,0
 60-70,0,0,0.98,0,3.93,0,1.96,0,0.98,0,0,0,0
 72-82,0,0.98,0,0,0,0,3.93,0,1.96,0.98,0,0.98,0.98
 84-94,0,1.06,0,1.06,1.06,0,0,1.06,2.12,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,1.53,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
