stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0
 24-34,0,0,1.64,0,1.64,0.82,0,7.39,0,0,1.64,0,0,0,0.82,0.82,0,0.82,0,2.46,3.28,0,0,0.82,55,2.46,3.28,0,0,1.64,0,1.64,0,0.82,14.78,0,0,3.28,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,16.11,0.81,0,4.83,0,0,0,0,0,0.81,0,0,3.22,3.22,0.81,0.81,0.81,83.79,1.61,0,2.42,0,0.81,0.81,0.81,0,0,12.89,0,0,0,0,0
 48-58,0,0,0.57,0,5.16,0,0,48.77,0.57,0.57,9.75,3.44,0,0,0,0,0.57,1.15,1.15,1.72,5.74,0,1.15,0.57,113.04,3.44,0.57,4.02,0,1.72,0,0,0,0,20.08,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,4.91,0,0,146.25,3.93,0,9.82,6.87,0,0,0,0.98,0,2.94,1.96,0,6.87,0,0.98,0,125.63,3.93,0.98,3.93,0,0,0.98,0,0,0,7.85,0,0,0.98,0,0
 72-82,0,0,2.94,0,9.82,0,1.96,389.72,2.94,0.98,36.32,51.05,0,0,0.98,3.93,0.98,1.96,31.41,0,14.72,0,1.96,0,178.66,1.96,1.96,7.85,0,0.98,0.98,0,0,0,15.71,0.98,3.93,3.93,0.98,0
 84-94,0,0,0,0,24.43,0,1.06,310.11,11.68,2.12,49.92,93.46,0,1.06,1.06,0,0,1.06,101.96,1.06,11.68,1.06,0,1.06,101.96,1.06,1.06,7.43,0,5.31,0,1.06,0,0,12.74,4.25,5.31,5.31,2.12,1.06
 96-106,0,0,4.37,0,14.21,5.46,0,300.53,2.19,2.19,30.6,84.15,0,1.09,4.37,1.09,0,0,134.42,0,14.21,0,0,1.09,100.54,1.09,3.28,4.37,0,8.74,0,0,1.09,0,2.19,2.19,5.46,1.09,1.09,0
108-118,0,0,1.53,2.3,43.66,0.77,4.6,226.73,2.3,0.77,48.26,99.58,0,0,1.53,2.3,0,0.77,669.45,0.77,16.09,1.53,0.77,1.53,163.15,2.3,2.3,4.6,0,22.98,0,1.53,0,0,5.36,2.3,6.13,0.77,0.77,0
120,0,0,0,0,1.96,0,0,221.46,0,0,17.64,15.68,0,0,0,0,1.96,1.96,48.99,0,9.8,0,1.96,0,72.51,1.96,1.96,1.96,0,5.88,0,0,0,0,0,0,5.88,1.96,0,0
