stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,29,31,1,0,0,1,18,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,27.09,0,0,4.1,44.33,24.63,6.57,0,0,0.82,20.52,0,0,4.93,0,0
 36-46,0.81,0,0.81,0,0,0,1.61,0,0.81,0,0,0,0,0,0,61.23,0,0,1.61,23.36,34.64,5.64,0,0.81,0,8.06,0,0,0,0,0
 48-58,0,0,9.18,0,0,1.15,1.72,0,0,0,0,0,0,0,0,115.91,0,1.15,5.16,18.94,32.13,6.31,0,1.15,0,4.59,0,1.15,2.87,0,0.57
 60-70,0.98,0,10.8,0,0,2.94,1.96,0,0,0.98,0,0.98,0,0,0.98,229.68,0,0.98,11.78,13.74,18.65,10.8,0,0,0,0,0,1.96,0,1.96,0
 72-82,0.98,0.98,19.63,0,0,4.91,3.93,0,0,0,0,0,0.98,0,0,327.88,0,3.93,18.65,13.74,18.65,16.69,0.98,2.94,0,0,0,2.94,3.93,9.82,0
 84-94,2.12,0,31.86,0,0,2.12,1.06,0,0,0,0,1.06,0,1.06,0,162.49,0,2.12,7.43,5.31,21.24,20.18,0,0,0,0,0,3.19,1.06,9.56,0
 96-106,0,0,9.84,2.19,0,3.28,3.28,1.09,0,0,1.09,0,0,0,1.09,134.42,1.09,0,5.46,10.93,14.21,13.11,1.09,2.19,0,0,0,2.19,2.19,6.56,0
108-118,0.77,0.77,9.19,0,0.77,5.36,1.53,0,0,0,1.53,0,0,0,0,127.15,0,0,3.83,13.02,12.26,15.32,0.77,0.77,0,1.53,1.53,0,2.3,4.6,0
120,3.92,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0,97.99,1.96,0,1.96,9.8,13.72,9.8,1.96,0,0,0,0,1.96,0,1.96,0
